"interview__key","y5_hhid","y4_hhid","indidy5","hh_b01","hh_b02","hh_b03_1","hh_b03_2","hh_b04","hh_b05","hh_b06","hh_b07","hh_b08","hh_b09_1","hh_b0a","hh_b0b","hh_b10","hh_b11","hh_b12_1","hh_b12_2","hh_b13","hh_b14","hh_b15_1","hh_b15_2","hh_b16","hh_b17","hh_b18","hh_b19","hh_b20","hh_b21_1","hh_b21_2","hh_b21_3","hh_b21_4","hh_b22","hh_b23_1","hh_b23_2","hh_b23_3","hh_b23_4","hh_b24","hh_b25","hh_b26","hh_b27_2","hh_b27_3","hh_b28","hh_b29_2","hh_b29_3"
"48-07-72-07","1001-001-01","1001-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",8,3,7,1,31,1,1,,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01","1001-001",8,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,3,99,1,31,1,1,,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01","1002-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",79,1,1,1,31,1,1,,0,1,98,,35,8,98,,43,1,1,1,4,3,,,,1,2,,,,2,,64,2,22,4,2,22
"87-35-70-53","1002-001-01","1002-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",71,2,2,1,31,1,1,,0,1,98,,30,1,98,,26,1,1,1,2,3,,,,1,1,,,,2,,50,3,37,3,3,37
"87-35-70-53","1002-001-01","1002-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",34,3,3,1,31,1,1,,0,1,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"90-92-88-29","1003-001-01","1003-001",1,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",63,1,1,1,31,1,1,,0,1,98,,10,1,97,,,1,1,7,,,,,,,,,,,,,99,,,,,
"90-92-88-29","1003-001-01","1003-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",41,3,2,1,31,1,2,3,0,1,98,,40,1,96,1,,,1,4,,,,,,,,,,,,,99,,,,,
"90-92-88-29","1003-001-01","1003-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",22,3,3,1,31,1,1,,0,1,98,,20,1,96,1,,,1,6,,,,,,,,,,,,,99,,,,,
"16-34-22-80","1005-001-01","1005-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",44,1,1,1,31,1,1,,0,1,98,,43,1,97,,,1,1,1,4,2,,,,1,2,,,,2,,99,,,,,
"16-34-22-80","1005-001-01","1005-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",35,2,2,1,31,1,1,,0,10,97,,,3,97,,,1,1,1,3,2,,,,1,1,,,,2,,99,,,,,
"16-34-22-80","1005-001-01","1005-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",12,3,3,1,31,1,2,1,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"16-34-22-80","1005-001-01","1005-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",10,3,4,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01","1005-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,3,99,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01","1005-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01","1006-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",59,1,1,1,30,1,1,,0,1,98,,45,2,97,,,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"66-03-93-27","1006-001-01","1006-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",52,2,2,1,31,1,1,,0,11,97,,,3,97,,,1,1,1,1,2,,,,1,1,,,,2,,99,,,,,
"66-03-93-27","1006-001-01","1006-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",16,3,6,1,31,1,2,1,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"66-03-93-27","1006-001-01","1006-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,3,7,1,31,1,2,1,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"71-71-16-36","1006-001-03","1006-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",31,1,3,1,31,1,1,,0,7,97,,,8,97,,,8,1,1,1,2,,,,1,2,,,,2,,5,2,22,5,2,22
"71-71-16-36","1006-001-03","1006-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",27,2,99,1,31,1,1,,0,10,97,,,3,97,,,3,1,1,1,2,,,,1,1,,,,2,,5,2,22,5,1,11
"71-71-16-36","1006-001-03","1006-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04","1006-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",28,1,4,1,31,1,1,,0,10,97,,,3,97,,,3,1,3,,,,,,1,2,,,,2,,99,,,,,
