"interview__key","y5_hhid","y4_hhid","indidy5","hh_b01","hh_b02","hh_b03_1","hh_b03_2","hh_b04","hh_b05","hh_b06","hh_b07","hh_b08","hh_b09_1","hh_b0a","hh_b0b","hh_b10","hh_b11","hh_b12_1","hh_b12_2","hh_b13","hh_b14","hh_b15_1","hh_b15_2","hh_b16","hh_b17","hh_b18","hh_b19","hh_b20","hh_b21_1","hh_b21_2","hh_b21_3","hh_b21_4","hh_b22","hh_b23_1","hh_b23_2","hh_b23_3","hh_b23_4","hh_b24","hh_b25","hh_b26","hh_b27_2","hh_b27_3","hh_b28","hh_b29_2","hh_b29_3"
"02-76-71-13","2770-001-01","2770-001",7,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",24,3,7,1,31,1,2,2,0,13,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"02-76-71-13","2770-001-01","2770-001",8,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",22,3,8,1,31,1,2,2,0,13,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"02-76-71-13","2770-001-01","2770-001",9,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",19,3,9,1,31,1,2,2,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"02-76-71-13","2770-001-01","2770-001",10,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",12,3,10,1,31,1,2,2,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"02-76-71-13","2770-001-01","2770-001",11,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,6,99,1,31,1,2,2,0,14,97,,,3,97,,,3,2,,,,,,,,,,,,,,,,,,,
"87-19-17-05","2770-001-03","2770-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",43,1,3,1,31,1,1,,0,5,97,,,3,97,,,3,1,1,1,2,,,,1,2,,,,2,,1,55,551,3,51,511
"87-19-17-05","2770-001-03","2770-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",42,2,99,1,31,1,2,1,0,5,98,,10,5,97,,,1,1,1,1,2,,,,1,1,,,,2,,1,55,551,3,55,551
"87-19-17-05","2770-001-03","2770-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",9,3,99,1,31,1,2,1,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"87-19-17-05","2770-001-03","2770-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,3,99,1,31,1,2,1,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"85-33-29-82","2771-001-01","2771-001",1,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",63,1,1,1,31,1,1,,0,16,98,,25,1,98,,40,1,1,7,,,,,,,,,,,,,30,55,551,5,55,551
"85-33-29-82","2771-001-01","2771-001",2,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",28,3,2,1,31,1,2,1,0,5,98,,22,1,96,1,,,1,6,,,,,,,,,,,,,99,,,,,
"85-33-29-82","2771-001-01","2771-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",16,6,4,1,31,1,2,1,0,14,97,,,1,97,,,4,1,6,,,,,,,,,,,,,99,,,,,
"85-33-29-82","2771-001-01","2771-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",15,6,5,1,31,1,2,1,0,14,97,,,1,97,,,4,1,6,,,,,,,,,,,,,9,53,531,4,55,551
"85-33-29-82","2771-001-01","2771-001",6,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",34,3,99,1,31,1,2,1,0,11,98,,28,1,96,1,,,1,1,1,2,,,,2,,,,,1,,1,53,531,4,55,551
"85-33-29-82","2771-001-01","2771-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",10,6,99,1,31,1,2,1,0,14,97,,,8,96,6,,,2,,,,,,,,,,,,,,,,,,,
"85-33-29-82","2771-001-01","2771-001",8,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,6,99,1,31,1,2,1,0,14,97,,,8,96,6,,,2,,,,,,,,,,,,,,,,,,,
"85-33-29-82","2771-001-01","2771-001",9,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,6,99,1,31,1,2,1,0,17,97,,,8,96,6,,,2,,,,,,,,,,,,,,,,,,,
"84-47-37-13","2772-001-01","2772-001",1,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",66,1,1,1,31,1,1,,0,11,98,,25,1,98,,60,1,1,7,,,,,,,,,,,,,43,55,551,3,55,551
"84-47-37-13","2772-001-01","2772-001",2,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",41,10,2,1,31,1,2,3,0,10,98,,33,1,97,,,8,1,1,1,2,,,,1,3,,,,2,,15,55,551,3,54,541
"84-47-37-13","2772-001-01","2772-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",37,3,3,1,31,1,1,,0,10,98,,31,1,96,1,,,1,1,2,2,,,,1,2,,,,2,,99,,,,,
"84-47-37-13","2772-001-01","2772-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",21,6,4,1,31,1,2,3,0,14,97,,,5,96,3,,,1,6,,,,,,,,,,,,,99,,,,,
"84-47-37-13","2772-001-01","2772-001",5,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",16,6,5,1,31,1,2,3,0,14,96,2,,,96,3,,,1,6,,,,,,,,,,,,,99,,,,,
"84-47-37-13","2772-001-01","2772-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,6,6,1,31,1,2,1,0,14,96,2,,,96,3,,,1,6,,,,,,,,,,,,,99,,,,,
"84-47-37-13","2772-001-01","2772-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",12,6,7,1,31,1,2,1,0,14,96,2,,,96,3,,,1,6,,,,,,,,,,,,,99,,,,,
"84-47-37-13","2772-001-01","2772-001",9,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,6,9,1,31,1,2,1,0,14,96,2,,,96,3,,,2,,,,,,,,,,,,,,,,,,,
"84-47-37-13","2772-001-01","2772-001",10,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,6,99,1,31,1,2,3,0,17,96,2,,,96,3,,,2,,,,,,,,,,,,,,,,,,,
"06-61-50-27","2773-001-01","2773-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",77,1,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06-61-50-27","2773-001-01","2773-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",69,2,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06-61-50-27","2773-001-01","2773-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",44,3,3,1,31,1,1,,0,10,96,1,,,96,2,,,1,1,2,2,,,,1,9,,,,2,,99,,,,,
"06-61-50-27","2773-001-01","2773-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",37,3,4,2,0,1,2,3,2,7,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"06-61-50-27","2773-001-01","2773-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",19,6,5,1,31,1,2,3,0,14,97,,,2,96,3,,,1,6,,,,,,,,,,,,,99,,,,,
"06-61-50-27","2773-001-01","2773-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",16,6,6,1,31,1,2,3,0,14,97,,,2,96,3,,,1,6,,,,,,,,,,,,,99,,,,,
"06-61-50-27","2773-001-01","2773-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",11,6,7,1,31,1,2,3,0,14,97,,,2,96,3,,,2,,,,,,,,,,,,,,,,,,,
"06-61-50-27","2773-001-01","2773-001",8,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,6,99,1,31,1,2,3,0,17,96,9,,,96,3,,,2,,,,,,,,,,,,,,,,,,,
"06-61-50-27","2773-001-01","2773-001",9,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",44,8,99,1,31,1,1,,0,7,97,,,8,97,,,8,1,2,4,2,2,,,1,3,,,,1,1,3,55,551,3,55,551
"18-00-64-55","2774-001-01","2774-001",1,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",94,8,1,1,31,1,1,,11,15,98,,40,1,98,,45,1,1,7,,,,,,,,,,,,,0,53,531,5,55,551
"18-00-64-55","2774-001-01","2774-001",2,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",40,1,99,1,20,1,2,4,0,5,97,,,1,96,1,,,1,1,1,2,,,,1,3,,,,2,,4,53,532,5,55,551
"18-00-64-55","2774-001-01","2774-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",39,2,99,1,31,1,1,,0,16,97,,,2,97,,,3,1,1,1,2,,,,1,2,,,,2,,4,53,532,5,7,71
"18-00-64-55","2774-001-01","2774-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",59,7,99,1,31,1,1,,11,16,98,,50,1,96,1,,,1,7,,,,,,,,,,,,,0,53,531,5,55,551
"18-00-64-55","2774-001-01","2774-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",18,5,99,1,31,1,1,,0,14,97,,,3,96,3,,,1,6,,,,,,,,,,,,,1,55,552,5,55,552
"18-00-64-55","2774-001-01","2774-001",6,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,3,99,1,31,1,2,3,0,14,96,2,,,96,3,,,2,,,,,,,,,,,,,,,,,,,
"18-00-64-55","2774-001-01","2774-001",7,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,3,99,1,31,1,2,3,0,17,96,2,,,96,3,,,2,,,,,,,,,,,,,,,,,,,
"88-64-17-46","2786-001-01","2786-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",41,1,1,1,31,1,2,2,0,2,97,,,5,97,,,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"88-64-17-46","2786-001-01","2786-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",37,2,2,1,31,1,1,,0,1,97,,,2,97,,,3,1,1,1,2,,,,1,1,,,,2,,20,55,552,3,55,552
"88-64-17-46","2786-001-01","2786-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",18,3,3,1,31,1,2,2,0,2,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"88-64-17-46","2786-001-01","2786-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,3,4,1,31,1,2,2,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"88-64-17-46","2786-001-01","2786-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",13,3,5,1,31,1,2,2,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"88-64-17-46","2786-001-01","2786-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",13,3,6,1,31,1,2,2,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"88-64-17-46","2786-001-01","2786-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",10,3,7,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"88-64-17-46","2786-001-01","2786-001",8,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",8,3,8,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"88-64-17-46","2786-001-01","2786-001",9,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,3,9,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"88-64-17-46","2786-001-01","2786-001",10,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"88-64-17-46","2786-001-01","2786-001",11,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"64-39-68-45","2787-001-01","2787-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",31,1,1,1,31,1,2,2,0,1,97,,,1,98,,26,8,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"64-39-68-45","2787-001-01","2787-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",23,2,2,1,31,1,1,,0,1,97,,,1,97,,,1,1,1,1,2,,,,1,1,,,,2,,99,,,,,
"64-39-68-45","2787-001-01","2787-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,3,99,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"64-39-68-45","2787-001-01","2787-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"64-39-68-45","2787-001-01","2787-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"37-86-68-69","2788-001-01","2788-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",30,1,1,1,31,1,1,,0,2,97,,,1,97,,,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"37-86-68-69","2788-001-01","2788-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",25,2,2,1,31,1,1,,0,1,97,,,1,97,,,1,1,1,1,2,,,,1,1,,,,2,,8,55,552,3,55,552
"37-86-68-69","2788-001-01","2788-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,3,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"37-86-68-69","2788-001-01","2788-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",5,3,99,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"37-86-68-69","2788-001-01","2788-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"37-86-68-69","2788-001-01","2788-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"67-86-73-42","2789-001-01","2789-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",42,1,1,2,7,1,2,2,2,2,97,,,8,97,,,8,1,2,1,2,2,,,1,2,,,,1,1,99,,,,,
"67-86-73-42","2789-001-01","2789-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",35,2,2,1,31,1,1,,0,1,97,,,4,98,,27,1,1,1,1,2,,,,1,1,,,,2,,7,55,552,3,55,552
"67-86-73-42","2789-001-01","2789-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",15,3,3,2,31,1,2,1,2,16,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"67-86-73-42","2789-001-01","2789-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,3,4,1,31,1,2,2,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"67-86-73-42","2789-001-01","2789-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",10,3,7,2,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"67-86-73-42","2789-001-01","2789-001",8,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,8,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"67-86-73-42","2789-001-01","2789-001",9,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,3,99,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"67-86-73-42","2789-001-01","2789-001",10,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"54-74-73-73","2790-001-01","2790-001",1,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",56,1,1,1,31,1,1,,0,1,98,,30,1,98,,55,1,1,7,,,,,,,,,,,,,99,,,,,
"54-74-73-73","2790-001-01","2790-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",12,3,2,1,31,1,1,,0,14,98,,6,2,96,1,,,1,6,,,,,,,,,,,,,99,,,,,
"54-74-73-73","2790-001-01","2790-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",15,3,3,1,31,1,1,,0,14,98,,9,2,96,1,,,1,6,,,,,,,,,,,,,99,,,,,
"80-39-16-43","2790-001-04","2790-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",30,1,4,1,31,1,1,,0,2,98,,16,1,97,,,2,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"80-39-16-43","2790-001-04","2790-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",21,2,99,1,31,1,1,,0,11,97,,,1,97,,,1,1,1,1,2,,,,1,1,,,,2,,99,,,,,
"80-39-16-43","2790-001-04","2790-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,3,99,1,31,1,1,,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"80-39-16-43","2790-001-04","2790-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"85-92-14-25","2791-001-01","2791-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",51,1,1,1,31,1,1,,0,1,98,,30,1,98,,50,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"85-92-14-25","2791-001-01","2791-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",51,2,2,1,31,1,2,1,0,11,98,,30,1,97,,,1,1,1,1,2,,,,1,1,,,,2,,99,,,,,
"85-92-14-25","2791-001-01","2791-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",22,3,4,1,31,1,2,1,0,13,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"85-92-14-25","2791-001-01","2791-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",19,3,5,1,31,1,2,1,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"85-92-14-25","2791-001-01","2791-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",16,3,6,1,31,1,2,1,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"85-92-14-25","2791-001-01","2791-001",7,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,3,7,1,31,1,2,1,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"85-92-14-25","2791-001-01","2791-001",8,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",12,3,8,1,31,1,2,1,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"85-92-14-25","2791-001-01","2791-001",9,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",9,3,9,1,31,1,2,1,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"85-92-14-25","2791-001-01","2791-001",10,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,10,1,31,1,2,1,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"87-77-75-05","2791-001-03","2791-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",27,1,99,1,31,1,1,,0,2,97,,,1,97,,,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"87-77-75-05","2791-001-03","2791-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",24,2,3,1,31,1,1,,0,11,97,,,1,97,,,1,1,1,1,2,,,,1,1,,,,2,,2,55,552,3,55,552
"90-59-38-22","2792-001-01","2792-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",26,1,1,1,31,1,1,,0,2,97,,,1,97,,,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"90-59-38-22","2792-001-01","2792-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",24,2,2,1,31,1,1,,0,11,97,,,1,97,,,1,1,1,1,2,,,,1,1,,,,2,,99,,,,,
"90-59-38-22","2792-001-01","2792-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,3,3,1,31,1,2,1,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"90-59-38-22","2792-001-01","2792-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,3,99,1,31,1,2,1,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"90-59-38-22","2792-001-01","2792-001",5,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,2,1,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"44-64-21-26","2793-001-01","2793-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",32,1,1,1,31,1,1,,0,2,97,,,1,97,,,1,1,1,1,2,,,,1,2,,,,2,,99,,,,,
"44-64-21-26","2793-001-01","2793-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",29,2,2,1,31,1,1,,0,1,97,,,1,97,,,1,1,1,1,2,,,,1,1,,,,2,,13,55,552,3,55,552
"44-64-21-26","2793-001-01","2793-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",12,3,3,1,31,1,2,2,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
"44-64-21-26","2793-001-01","2793-001",4,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",10,3,4,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"44-64-21-26","2793-001-01","2793-001",5,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,5,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"44-64-21-26","2793-001-01","2793-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,3,99,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"44-64-21-26","2793-001-01","2793-001",7,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"44-64-21-26","2793-001-01","2793-001",8,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"37-60-26-94","2805-001-01","2805-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",26,1,1,1,28,1,1,,0,1,97,,,8,97,,,8,1,1,4,2,,,,1,3,,,,2,,4,52,521,3,52,521
"37-60-26-94","2805-001-01","2805-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",25,2,99,1,28,1,1,,0,11,97,,,8,98,,15,8,1,1,1,2,,,,1,1,,,,2,,2,51,511,3,51,511
"37-60-26-94","2805-001-01","2805-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,28,1,2,3,0,17,96,1,,,96,3,,,2,,,,,,,,,,,,,,,,,,,
"76-51-50-03","2805-001-02","2805-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",25,1,99,1,28,1,2,2,0,9,97,,,1,97,,,1,1,1,1,2,,,,1,2,,,,2,,2,54,541,3,54,541
"76-51-50-03","2805-001-02","2805-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",31,2,2,1,28,1,1,,0,9,97,,,8,97,,,4,1,1,2,2,,,,1,1,,,,2,,2,52,521,4,53,531
"34-43-26-39","2806-001-01","2806-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",45,1,1,1,28,1,1,,0,5,98,,37,8,98,,30,8,1,2,1,2,2,,,1,2,,,,1,1,99,,,,,
"34-43-26-39","2806-001-01","2806-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",36,2,2,1,28,1,1,,0,11,98,,8,8,98,,30,1,1,1,1,2,,,,1,1,,,,2,,21,52,521,3,52,521
"34-43-26-39","2806-001-01","2806-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",20,3,3,1,28,1,2,2,0,13,96,1,,,96,2,,,1,6,,,,,,,,,,,,,99,,,,,
