"UPI","y4_hhid","indidy4","y5_hhid","indidy5"
1,"8968-001",1,"8968-001-01",1
2,"8968-001",2,"8968-001-02",1
3,"8968-001",3,"8968-001-01",3
4,"8968-001",4,"8968-001-01",4
5,"8968-001",5,"8968-001-02",2
6,"8967-001",1,"8967-001-01",1
7,"8967-001",2,"8967-001-01",2
8,"8967-001",3,"8967-001-01",3
9,"8966-001",1,"8966-001-01",1
10,"8966-001",2,"8966-001-01",2
11,"8966-001",3,"8966-001-01",3
12,"8966-001",4,"8966-001-01",4
13,"8966-001",5,"8966-001-01",5
14,"8965-001",1,"8965-001-01",1
15,"8964-001",1,"8964-001-01",1
16,"8964-001",2,"8964-001-01",2
17,"8964-001",3,,
18,"8964-001",4,"8964-001-04",1
19,"8964-001",5,"8964-001-05",1
20,"8964-001",6,"8964-001-01",6
21,"8964-001",7,"8964-001-01",7
22,"8963-001",1,,
23,"8963-001",2,,
24,"8963-001",3,"8963-001-03",1
25,"8963-001",4,,
26,"8963-001",5,,
27,"8963-001",6,,
28,"8963-001",7,,
29,"8962-001",1,,
30,"8962-001",2,"8962-001-02",2
31,"8962-001",3,"8962-001-03",1
32,"8962-001",4,"8962-001-02",4
33,"8962-001",5,"8962-001-02",5
34,"8962-001",6,"8962-001-02",6
35,"8962-001",7,"8962-001-02",7
36,"8962-001",8,"8962-001-03",2
37,"8962-001",9,"8962-001-02",9
38,"8961-001",1,"8961-001-01",1
39,"8961-001",2,"8961-001-01",2
40,"8961-001",3,"8961-001-01",3
41,"8961-001",4,,
42,"8949-001",1,"8949-001-01",1
43,"8948-001",1,"8948-001-01",1
44,"8948-001",2,,
45,"8948-001",3,"8948-001-01",3
46,"8948-001",4,"8948-001-01",4
47,"8948-001",5,"8948-001-01",5
48,"8948-001",6,"8948-001-01",6
49,"8947-001",1,"8947-001-01",1
50,"8946-001",1,"8946-001-01",1
51,"8946-001",2,"8946-001-01",2
52,"8946-001",3,,
53,"8946-001",4,"8946-001-04",2
54,"8946-001",5,"8946-001-01",5
55,"8945-001",1,"8945-001-01",1
56,"8945-001",2,"8945-001-01",2
57,"8945-001",3,"8945-001-01",3
58,"8944-001",1,"8944-001-01",1
59,"8944-001",2,"8944-001-01",2
60,"8944-001",3,"8944-001-01",3
61,"8944-001",4,"8944-001-01",4
62,"8944-001",5,"8944-001-01",5
63,"8944-001",6,"8944-001-01",6
64,"8944-001",7,"8944-001-01",7
65,"8944-001",8,"8944-001-01",8
66,"8943-001",1,,
67,"8943-001",2,,
68,"8943-001",3,,
69,"8943-001",4,,
70,"8943-001",5,,
71,"8943-001",6,,
72,"8942-001",1,"8942-001-01",1
73,"8942-001",2,"8942-001-01",2
74,"8942-001",3,"8942-001-01",3
75,"8942-001",4,"8942-001-01",4
76,"8942-001",5,"8942-001-01",5
77,"8942-001",6,"8942-001-01",6
78,"8942-001",7,"8942-001-01",7
79,"8942-001",8,,
80,"8930-001",1,"8930-001-01",1
81,"8930-001",2,"8930-001-01",2
82,"8929-001",1,"8929-001-01",1
83,"8929-001",2,"8929-001-01",2
84,"8929-001",3,"8929-001-03",1
85,"8929-001",4,"8929-001-01",4
86,"8929-001",5,"8929-001-03",2
87,"8929-001",6,"8929-001-01",6
88,"8929-001",7,"8929-001-01",7
89,"8929-001",8,"8929-001-01",8
90,"8929-001",9,,
91,"8928-001",1,"8928-001-01",1
92,"8928-001",2,"8928-001-01",2
93,"8928-001",3,"8928-001-03",1
94,"8927-001",1,,
95,"8927-001",2,,
96,"8927-001",3,,
97,"8927-001",4,,
98,"8926-001",1,"8926-001-01",1
99,"8926-001",2,"8926-001-01",2
100,"8926-001",3,"8926-001-01",3
101,"8926-001",4,"8926-001-01",4
102,"8925-001",1,"8925-001-01",1
103,"8925-001",2,"8925-001-01",2
104,"8925-001",3,"8925-001-03",1
105,"8925-001",4,"8925-001-01",4
106,"8925-001",5,"8925-001-01",5
107,"8924-001",1,"8924-001-01",1
108,"8924-001",2,"8924-001-01",2
109,"8924-001",3,"8924-001-01",3
110,"8924-001",4,"8924-001-01",4
111,"8924-001",5,"8924-001-01",5
112,"8924-001",6,"8924-001-01",6
113,"8924-001",7,"8924-001-01",7
114,"8924-001",8,"8924-001-01",8
115,"8924-001",9,"8924-001-01",9
116,"8923-001",1,"8923-001-01",1
117,"8923-001",2,"8923-001-02",1
118,"8923-001",3,"8923-001-02",2
119,"8923-001",4,"8923-001-02",3
120,"8911-001",1,"8911-001-01",1
121,"8911-001",2,"8911-001-01",2
122,"8911-001",3,"8911-001-01",3
123,"8911-001",4,"8911-001-01",4
124,"8911-001",5,"8911-001-01",5
125,"8911-001",6,"8911-001-01",6
126,"8911-001",7,"8911-001-01",7
127,"8910-001",1,"8910-001-01",1
128,"8910-001",2,"8910-001-02",2
129,"8909-001",1,,
130,"8909-001",2,"8909-001-02",2
131,"8909-001",3,"8909-001-02",3
132,"8909-001",4,"8909-001-02",4
133,"8909-001",5,"8909-001-02",5
134,"8908-001",1,"8908-001-01",1
135,"8907-001",1,"8907-001-01",1
136,"8907-001",2,"8907-001-01",2
137,"8907-001",3,"8907-001-01",3
138,"8907-001",4,"8907-001-01",4
139,"8906-001",1,"8906-001-01",1
140,"8906-001",2,"8906-001-01",3
141,"8906-001",3,,
142,"8905-001",1,"8905-001-01",1
143,"8905-001",2,"8905-001-01",2
144,"8905-001",3,"8905-001-03",1
145,"8905-001",4,"8905-001-01",4
146,"8905-001",5,"8905-001-01",5
147,"8905-001",6,"8905-001-01",6
148,"8904-001",1,"8904-001-01",1
149,"8904-001",2,"8904-001-01",2
150,"8904-001",3,"8904-001-01",3
151,"8904-001",4,"8904-001-01",4
152,"8904-001",5,"8904-001-01",5
153,"8892-001",1,,
154,"8892-001",2,"8892-001-03",2
155,"8892-001",3,"8892-001-03",3
156,"8892-001",4,"8892-001-03",4
157,"8891-001",1,"8891-001-01",1
158,"8891-001",2,"8891-001-01",2
159,"8891-001",3,"8891-001-01",3
160,"8891-001",4,"8891-001-04",5
161,"8891-001",5,"8891-001-01",5
162,"8890-001",1,,
163,"8890-001",2,,
164,"8890-001",3,,
165,"8890-001",4,,
166,"8889-001",1,"8889-001-01",1
167,"8889-001",2,"8889-001-01",2
168,"8889-001",3,"8889-001-01",4
169,"8889-001",4,"8889-001-01",3
170,"8889-001",5,"8889-001-01",5
171,"8889-001",6,"8889-001-01",6
172,"8889-001",7,"8889-001-01",7
173,"8889-001",8,"8889-001-01",8
174,"8888-001",1,"8888-001-01",1
175,"8888-001",2,,
176,"8888-001",3,"8888-001-01",3
177,"8887-001",1,"8887-001-01",1
178,"8887-001",2,"8887-001-01",2
179,"8887-001",3,"8887-001-01",3
180,"8887-001",4,"8887-001-01",4
181,"8887-001",5,"8887-001-01",5
182,"8886-001",1,"8886-001-01",1
183,"8886-001",2,"8886-001-01",2
184,"8886-001",3,"8886-001-01",3
185,"8886-001",4,"8886-001-01",4
186,"8886-001",5,"8886-001-01",5
187,"8886-001",6,"8886-001-01",6
188,"8885-001",1,"8885-001-01",1
189,"8885-001",2,"8885-001-01",2
190,"8885-001",3,"8885-001-01",3
191,"8885-001",4,"8885-001-01",4
192,"8885-001",5,"8885-001-01",5
193,"8885-001",6,,
194,"8885-001",7,,
195,"8885-001",8,"8885-001-01",8
196,"8873-001",1,"8873-001-01",1
197,"8873-001",2,"8873-001-01",2
198,"8873-001",3,,
199,"8872-001",1,"8872-001-01",1
200,"8872-001",2,"8872-001-01",2
201,"8872-001",3,"8872-001-03",1
202,"8872-001",4,"8872-001-04",2
203,"8872-001",5,"8872-001-01",5
204,"8872-001",6,"8872-001-01",6
205,"8872-001",7,"8872-001-01",7
206,"8872-001",8,"8872-001-01",8
207,"8872-001",9,"8872-001-01",9
208,"8871-001",1,"8871-001-01",1
209,"8871-001",2,,
210,"8871-001",3,"8871-001-03",2
211,"8871-001",4,,
212,"8871-001",5,"8871-001-01",5
213,"8870-001",1,"8870-001-01",1
214,"8870-001",2,"8870-001-01",2
215,"8870-001",3,"8870-001-01",3
216,"8870-001",4,"8870-001-01",4
217,"8870-001",5,"8870-001-01",5
218,"8870-001",6,"8870-001-01",7
219,"8869-001",1,"8869-001-01",1
220,"8869-001",2,"8869-001-01",2
221,"8869-001",3,,
222,"8869-001",4,"8869-001-01",4
223,"8869-001",5,"8869-001-01",5
224,"8869-001",6,"8869-001-01",6
225,"8869-001",7,"8869-001-01",7
226,"8869-001",8,"8869-001-01",8
227,"8868-001",1,"8868-001-01",1
228,"8868-001",2,"8868-001-01",2
229,"8868-001",3,"8868-001-01",3
230,"8868-001",4,"8868-001-01",4
231,"8868-001",5,"8868-001-01",5
232,"8867-001",1,,
233,"8867-001",2,"8867-001-02",2
234,"8866-001",1,"8866-001-01",1
235,"8866-001",2,,
236,"8857-001",1,"8857-001-01",1
237,"8857-001",2,"8857-001-01",2
238,"8857-001",3,"8857-001-01",3
239,"8857-001",4,"8857-001-01",4
240,"8854-001",1,,
241,"8854-001",2,,
242,"8854-001",3,"8854-001-03",7
243,"8854-001",4,,
244,"8854-001",5,,
245,"8854-001",6,,
246,"8854-001",7,,
247,"8854-001",8,,
248,"8854-001",9,,
249,"8854-001",10,"8854-001-10",10
250,"8854-001",11,,
251,"8854-001",12,"8854-001-10",12
252,"8854-001",13,"8854-001-13",1
253,"8854-001",14,"8854-001-14",1
254,"8854-001",15,"8854-001-14",2
255,"8854-001",16,"8854-001-13",2
256,"8853-001",1,,
257,"8853-001",2,"8853-001-02",2
258,"8853-001",3,"8853-001-02",3
259,"8853-001",4,"8853-001-02",4
260,"8853-001",5,"8853-001-02",5
261,"8853-001",6,"8853-001-02",6
262,"8853-001",7,"8853-001-02",7
263,"8853-001",8,"8853-001-02",8
264,"8853-001",9,"8853-001-02",9
265,"8853-001",10,"8853-001-02",10
266,"8851-001",1,"8851-001-01",1
267,"8851-001",2,"8851-001-01",2
268,"8851-001",3,"8851-001-01",3
269,"8851-001",4,"8851-001-01",4
270,"8851-001",5,"8851-001-01",5
271,"8851-001",6,"8851-001-01",6
272,"8851-001",7,"8851-001-01",7
273,"8850-001",1,,
274,"8850-001",2,"8850-001-02",1
275,"8850-001",3,"8850-001-02",2
276,"8850-001",4,"8850-001-02",3
277,"8849-001",1,,
278,"8849-001",2,"8849-001-02",2
279,"8849-001",3,"8849-001-02",3
280,"8849-001",4,"8849-001-02",4
281,"8849-001",5,"8849-001-02",5
282,"8849-001",6,"8849-001-06",3
283,"8849-001",7,"8849-001-02",7
284,"8849-001",8,"8849-001-02",8
285,"8849-001",9,"8849-001-02",9
286,"8849-001",10,"8849-001-02",10
287,"8848-001",1,"8848-001-01",1
288,"8848-001",2,"8848-001-01",2
289,"8848-001",3,"8848-001-01",3
290,"8848-001",4,"8848-001-01",4
291,"8848-001",5,"8848-001-01",5
292,"8848-001",6,"8848-001-01",6
293,"8848-001",7,"8848-001-01",7
294,"8847-001",1,"8847-001-01",1
295,"8847-001",2,"8847-001-01",2
296,"8847-001",3,"8847-001-01",3
297,"8847-001",4,"8847-001-01",4
298,"8847-001",5,"8847-001-01",5
299,"8847-001",6,"8847-001-01",6
300,"8847-001",7,"8847-001-01",7
301,"8847-001",8,,
302,"8835-001",1,"8835-001-01",1
303,"8835-001",2,"8835-001-01",2
304,"8835-001",3,"8835-001-01",3
305,"8835-001",4,"8835-001-04",1
306,"8835-001",5,,
307,"8835-001",6,,
308,"8834-001",1,"8834-001-01",1
309,"8834-001",2,"8834-001-01",2
310,"8834-001",3,"8834-001-01",3
311,"8834-001",4,"8834-001-01",4
312,"8834-001",5,"8834-001-01",5
313,"8834-001",6,"8834-001-01",6
314,"8834-001",7,"8834-001-01",7
315,"8833-001",1,"8833-001-01",1
316,"8833-001",2,"8833-001-01",2
317,"8833-001",3,"8833-001-01",3
318,"8832-001",1,"8832-001-01",7
319,"8832-001",2,"8832-001-02",1
320,"8832-001",3,"8832-001-02",2
321,"8832-001",4,"8832-001-02",3
322,"8832-001",5,"8832-001-02",4
323,"8831-001",1,"8831-001-01",1
324,"8830-001",1,"8830-001-01",1
325,"8829-001",1,"8829-001-01",1
326,"8829-001",2,"8829-001-01",2
327,"8829-001",3,"8829-001-01",3
328,"8829-001",4,"8829-001-01",4
329,"8829-001",5,"8829-001-01",5
330,"8829-001",6,"8829-001-01",6
331,"8829-001",7,"8829-001-01",7
332,"8829-001",8,"8829-001-01",8
333,"8828-001",1,"8828-001-01",1
334,"8828-001",2,"8828-001-01",2
335,"8828-001",3,"8828-001-03",1
336,"8828-001",4,"8828-001-01",4
337,"8828-001",5,"8828-001-01",5
338,"8828-001",6,"8828-001-01",6
339,"8828-001",7,"8828-001-07",2
340,"8828-001",8,"8828-001-01",8
341,"8828-001",9,"8828-001-01",9
342,"8828-001",10,"8828-001-01",10
343,"8828-001",11,"8828-001-01",11
344,"8828-001",12,"8828-001-01",12
345,"8828-001",13,"8828-001-03",2
346,"8828-001",14,"8828-001-03",3
347,"8818-001",1,"8818-001-01",1
348,"8818-001",2,"8818-001-01",2
349,"8816-001",1,"8816-001-01",1
350,"8816-001",2,"8816-001-01",2
351,"8816-001",3,"8816-001-01",3
352,"8816-001",4,"8816-001-01",4
353,"8816-001",5,"8816-001-01",5
354,"8816-001",6,"8816-001-01",6
355,"8815-001",1,"8815-001-01",1
356,"8815-001",2,"8815-001-01",2
357,"8814-001",1,"8814-001-01",1
358,"8814-001",2,"8814-001-02",1
359,"8814-001",3,"8814-001-03",2
360,"8814-001",4,"8814-001-02",2
361,"8814-001",5,,
362,"8814-001",6,"8814-001-02",3
363,"8814-001",7,"8814-001-02",4
364,"8813-001",1,"8813-001-01",1
365,"8813-001",2,"8813-001-01",2
366,"8813-001",3,"8813-001-01",3
367,"8812-001",1,"8812-001-01",1
368,"8812-001",2,"8812-001-02",1
369,"8812-001",3,,
370,"8812-001",4,"8812-001-01",4
371,"8812-001",5,"8812-001-01",5
372,"8812-001",6,"8812-001-01",6
373,"8812-001",7,,
374,"8810-001",1,"8810-001-01",1
375,"8810-001",2,"8810-001-01",2
376,"8810-001",3,"8810-001-01",3
377,"8810-001",4,"8810-001-01",4
378,"8809-001",1,,
379,"8797-001",1,,
380,"8797-001",2,"8797-001-02",2
381,"8797-001",3,"8797-001-02",3
382,"8797-001",4,,
383,"8797-001",5,"8797-001-02",5
384,"8797-001",6,"8797-001-02",6
385,"8797-001",7,"8797-001-02",7
386,"8797-001",8,"8797-001-02",8
387,"8797-001",9,"8797-001-02",9
388,"8796-001",1,"8796-001-01",1
389,"8796-001",2,"8796-001-01",2
390,"8796-001",3,"8796-001-01",3
391,"8796-001",4,"8796-001-01",4
392,"8796-001",5,"8796-001-01",5
393,"8796-001",6,"8796-001-06",3
394,"8796-001",7,"8796-001-01",7
395,"8796-001",8,"8796-001-01",8
396,"8796-001",9,"8796-001-01",9
397,"8796-001",10,"8796-001-01",10
398,"8796-001",11,"8796-001-01",11
399,"8795-001",1,"8795-001-01",1
400,"8795-001",2,"8795-001-01",2
401,"8795-001",3,"8795-001-01",3
402,"8795-001",4,"8795-001-01",4
403,"8795-001",5,"8795-001-01",5
404,"8795-001",6,"8795-001-01",6
405,"8795-001",7,"8795-001-01",7
406,"8795-001",8,"8795-001-01",8
407,"8795-001",9,"8795-001-01",9
408,"8795-001",10,,
409,"8795-001",11,"8795-001-01",11
410,"8794-001",1,"8794-001-01",1
411,"8794-001",2,,
412,"8793-001",1,"8793-001-01",1
413,"8793-001",2,"8793-001-01",2
414,"8793-001",3,,
415,"8793-001",4,"8793-001-01",4
416,"8793-001",5,"8793-001-01",5
417,"8793-001",6,"8793-001-01",6
418,"8793-001",7,"8793-001-01",7
419,"8793-001",8,"8793-001-01",8
420,"8793-001",9,"8793-001-01",9
421,"8793-001",10,"8793-001-01",10
422,"8793-001",11,"8793-001-01",11
423,"8792-001",1,"8792-001-01",1
424,"8792-001",2,"8792-001-01",2
425,"8792-001",3,"8792-001-01",3
426,"8792-001",4,"8792-001-01",4
427,"8792-001",5,"8792-001-01",5
428,"8792-001",6,"8792-001-01",6
429,"8792-001",7,"8792-001-01",7
430,"8791-001",1,"8791-001-01",1
431,"8791-001",2,,
432,"8791-001",3,"8791-001-03",13
433,"8791-001",4,"8791-001-01",2
434,"8791-001",5,"8791-001-01",3
435,"8791-001",6,"8791-001-01",4
436,"8791-001",7,"8791-001-01",5
437,"8790-001",1,"8790-001-01",1
438,"8790-001",2,"8790-001-01",2
439,"8790-001",3,"8790-001-01",3
440,"8790-001",4,"8790-001-01",4
441,"8790-001",5,"8790-001-01",5
442,"8790-001",6,"8790-001-01",6
443,"8778-001",1,"8778-001-01",1
444,"8778-001",2,"8778-001-02",2
445,"8778-001",3,"8778-001-02",1
446,"8778-001",4,"8778-001-02",3
447,"8778-001",5,"8778-001-02",4
448,"8778-001",6,"8778-001-02",5
449,"8778-001",7,"8778-001-02",6
450,"8777-001",1,"8777-001-01",1
451,"8777-001",2,"8777-001-01",2
452,"8777-001",3,,
453,"8777-001",4,,
454,"8777-001",5,,
455,"8777-001",6,,
456,"8776-001",1,,
457,"8775-001",1,,
458,"8775-001",2,,
459,"8774-001",1,"8774-001-01",18
460,"8773-001",1,"8773-001-01",1
461,"8773-001",2,"8773-001-01",2
462,"8773-001",3,"8773-001-01",3
463,"8773-001",4,"8773-001-01",4
464,"8773-001",5,"8773-001-01",5
465,"8772-001",1,"8772-001-01",1
466,"8772-001",2,"8772-001-01",2
467,"8772-001",3,"8772-001-01",3
468,"8772-001",4,"8772-001-01",4
469,"8772-001",5,,
470,"8771-001",1,"8771-001-01",1
471,"8771-001",2,"8771-001-02",1
472,"8771-001",3,,
473,"8762-001",1,"8762-001-01",2
474,"8762-001",2,"8762-001-02",1
475,"8762-001",3,,
476,"8762-001",4,"8762-001-04",4
477,"8762-001",5,,
478,"8762-001",6,,
479,"8762-001",7,,
480,"8759-001",1,"8759-001-01",1
481,"8759-001",2,"8759-001-01",2
482,"8759-001",3,,
483,"8759-001",4,,
484,"8759-001",5,"8759-001-01",5
485,"8758-001",1,"8758-001-01",1
486,"8758-001",2,"8758-001-01",2
487,"8758-001",3,"8758-001-01",3
488,"8758-001",4,"8758-001-01",4
489,"8758-001",5,"8758-001-05",1
490,"8758-001",6,"8758-001-01",6
491,"8758-001",7,"8758-001-01",7
492,"8758-001",8,"8758-001-08",6
493,"8758-001",9,"8758-001-01",9
494,"8758-001",10,"8758-001-10",5
495,"8758-001",11,,
496,"8758-001",12,"8758-001-01",12
497,"8758-001",13,"8758-001-13",4
498,"8758-001",14,"8758-001-01",14
499,"8757-001",1,,
500,"8757-001",2,,
501,"8757-001",3,,
502,"8757-001",4,"8757-001-04",1
503,"8757-001",5,,
504,"8756-001",1,,
505,"8756-001",2,"8756-001-02",2
506,"8755-001",1,"8755-001-01",1
507,"8755-001",2,"8755-001-01",2
508,"8754-001",1,"8754-001-01",1
509,"8754-001",2,"8754-001-01",2
510,"8754-001",3,"8754-001-01",3
511,"8754-001",4,"8754-001-01",4
512,"8753-001",1,"8753-001-01",1
513,"8740-001",1,,
514,"8740-001",2,,
515,"8740-001",3,,
516,"8739-001",1,"8739-001-01",1
517,"8738-001",1,"8738-001-01",1
518,"8738-001",2,"8738-001-01",2
519,"8737-001",1,"8737-001-01",1
520,"8737-001",2,"8737-001-01",2
521,"8737-001",3,"8737-001-01",3
522,"8736-001",1,"8736-001-01",1
523,"8736-001",2,"8736-001-01",2
524,"8736-001",3,"8736-001-01",3
525,"8735-001",1,"8735-001-01",1
526,"8735-001",2,"8735-001-01",2
527,"8735-001",3,"8735-001-01",3
528,"8735-001",4,"8735-001-01",4
529,"8734-001",1,,
530,"8734-001",2,,
531,"8734-001",3,,
532,"8733-001",1,"8733-001-01",1
533,"8733-001",2,"8733-001-01",2
534,"8733-001",3,"8733-001-03",1
535,"8733-001",4,,
536,"8733-001",5,,
537,"8733-001",6,"8733-001-01",6
538,"8733-001",7,"8733-001-01",7
539,"8722-001",1,"8722-001-01",1
540,"8722-001",2,"8722-001-01",2
541,"8722-001",3,"8722-001-01",3
542,"8722-001",4,"8722-001-01",4
543,"8722-001",5,"8722-001-01",5
544,"8722-001",6,"8722-001-01",6
545,"8720-001",1,,
546,"8720-001",2,,
547,"8720-001",3,,
548,"8720-001",4,,
549,"8720-001",5,,
550,"8720-001",6,,
551,"8720-001",7,,
552,"8720-001",8,,
553,"8720-001",9,,
554,"8720-001",10,,
555,"8719-001",1,,
556,"8719-001",2,,
557,"8719-001",3,,
558,"8719-001",4,,
559,"8719-001",5,,
560,"8719-001",6,,
561,"8719-001",7,,
562,"8719-001",8,,
563,"8719-001",9,,
564,"8719-001",10,,
565,"8718-001",1,"8718-001-01",1
566,"8718-001",2,,
567,"8718-001",3,"8718-001-01",3
568,"8718-001",4,,
569,"8718-001",5,"8718-001-01",4
570,"8717-001",1,"8717-001-01",1
571,"8717-001",2,"8717-001-01",2
572,"8717-001",3,"8717-001-01",3
573,"8717-001",4,"8717-001-01",4
574,"8717-001",5,"8717-001-01",5
575,"8717-001",6,,
576,"8717-001",7,,
577,"8717-001",8,,
578,"8717-001",9,,
579,"8716-001",1,,
580,"8716-001",2,,
581,"8716-001",3,,
582,"8716-001",4,,
583,"8716-001",5,,
584,"8716-001",6,,
585,"8716-001",7,,
586,"8716-001",8,,
587,"8716-001",9,,
588,"8716-001",10,,
589,"8716-001",11,,
590,"8716-001",12,,
591,"8715-001",1,"8715-001-01",1
592,"8715-001",2,,
593,"8715-001",3,,
594,"8715-001",4,,
595,"8714-001",1,"8714-001-01",1
596,"8714-001",2,"8714-001-01",2
597,"8714-001",3,"8714-001-01",3
598,"8714-001",4,"8714-001-01",4
599,"8714-001",5,"8714-001-01",5
600,"8714-001",6,"8714-001-01",6
601,"8714-001",7,"8714-001-01",7
602,"8714-001",8,"8714-001-01",8
603,"8714-001",9,"8714-001-01",9
604,"8702-001",1,"8702-001-01",1
605,"8702-001",2,"8702-001-01",2
606,"8702-001",3,"8702-001-01",3
607,"8702-001",4,"8702-001-01",4
608,"8702-001",5,"8702-001-01",5
609,"8702-001",6,"8702-001-01",6
610,"8702-001",7,"8702-001-01",7
611,"8701-001",1,"8701-001-01",1
612,"8701-001",2,"8701-001-01",2
613,"8700-001",1,"8700-001-01",1
614,"8700-001",2,"8700-001-01",2
615,"8700-001",3,"8700-001-01",3
616,"8699-001",1,"8699-001-01",1
617,"8699-001",2,"8699-001-01",2
618,"8699-001",3,"8699-001-03",1
619,"8699-001",4,"8699-001-01",4
620,"8699-001",5,"8699-001-01",5
621,"8699-001",6,"8699-001-01",6
622,"8699-001",7,"8699-001-07",6
623,"8699-001",8,"8699-001-08",26
624,"8699-001",9,"8699-001-01",9
625,"8699-001",10,"8699-001-01",10
626,"8699-001",11,"8699-001-01",11
627,"8698-001",1,"8698-001-01",1
628,"8698-001",2,,
629,"8697-001",1,"8697-001-01",1
630,"8697-001",2,"8697-001-01",2
631,"8697-001",3,"8697-001-01",3
632,"8697-001",4,"8697-001-01",4
633,"8697-001",5,"8697-001-01",5
634,"8697-001",6,"8697-001-01",6
635,"8697-001",7,"8697-001-01",7
636,"8697-001",8,"8697-001-01",8
637,"8697-001",9,"8697-001-01",9
638,"8696-001",1,"8696-001-01",1
639,"8696-001",2,,
640,"8696-001",3,"8696-001-01",3
641,"8696-001",4,,
642,"8695-001",1,"8695-001-01",1
643,"8695-001",2,"8695-001-01",2
644,"8695-001",3,"8695-001-03",1
645,"8695-001",4,"8695-001-01",4
646,"8695-001",5,"8695-001-01",5
647,"8695-001",6,"8695-001-03",2
648,"8695-001",7,"8695-001-03",3
649,"8695-001",8,"8695-001-08",3
650,"8695-001",9,"8695-001-03",5
651,"8695-001",10,"8695-001-03",6
652,"8695-001",11,"8695-001-03",7
653,"8695-001",12,"8695-001-03",8
654,"8695-001",13,,
655,"8695-001",14,"8695-001-01",14
656,"8695-001",15,"8695-001-01",15
657,"8695-001",16,,
658,"8695-001",17,,
659,"8695-001",18,"8695-001-18",1
660,"8695-001",19,"8695-001-18",2
661,"8695-001",20,"8695-001-18",3
662,"8683-001",1,"8683-001-01",1
663,"8683-001",2,"8683-001-01",2
664,"8683-001",3,"8683-001-03",2
665,"8683-001",4,"8683-001-01",4
666,"8683-001",5,"8683-001-01",5
667,"8683-001",6,"8683-001-01",6
668,"8683-001",7,"8683-001-01",7
669,"8683-001",8,"8683-001-01",8
670,"8683-001",9,,
671,"8682-001",1,"8682-001-01",1
672,"8682-001",2,"8682-001-01",2
673,"8682-001",3,"8682-001-01",3
674,"8681-001",1,"8681-001-01",1
675,"8681-001",2,"8681-001-01",2
676,"8681-001",3,"8681-001-01",3
677,"8681-001",4,"8681-001-01",4
678,"8680-001",1,"8680-001-01",1
679,"8680-001",2,"8680-001-01",2
680,"8680-001",3,"8680-001-01",3
681,"8680-001",4,"8680-001-01",4
682,"8680-001",5,"8680-001-01",5
683,"8680-001",6,"8680-001-01",6
684,"8679-001",1,"8679-001-01",1
685,"8679-001",2,,
686,"8679-001",3,,
687,"8679-001",4,,
688,"8679-001",5,,
689,"8678-001",1,"8678-001-01",1
690,"8678-001",2,"8678-001-01",2
691,"8678-001",3,,
692,"8678-001",4,"8678-001-01",4
693,"8677-001",1,"8677-001-01",1
694,"8677-001",2,"8677-001-01",2
695,"8677-001",3,"8677-001-01",3
696,"8677-001",4,,
697,"8676-001",1,"8676-001-01",1
698,"8676-001",2,"8676-001-01",2
699,"8676-001",3,,
700,"8676-001",4,"8676-001-04",2
701,"8676-001",5,"8676-001-01",5
702,"8676-001",6,"8676-001-01",6
703,"8676-001",7,"8676-001-01",7
704,"8676-001",8,"8676-001-01",8
705,"8664-001",1,,
706,"8664-001",2,,
707,"8664-001",3,,
708,"8663-001",1,"8663-001-01",1
709,"8663-001",2,,
710,"8663-001",3,"8663-001-01",3
711,"8663-001",4,"8663-001-01",4
712,"8662-001",1,"8662-001-01",1
713,"8662-001",2,"8662-001-01",2
714,"8662-001",3,"8662-001-01",3
715,"8662-001",4,"8662-001-01",4
716,"8661-001",1,"8661-001-01",1
717,"8661-001",2,"8661-001-01",2
718,"8661-001",3,"8661-001-01",3
719,"8660-001",1,"8660-001-01",1
720,"8660-001",2,"8660-001-01",2
721,"8659-001",1,"8659-001-01",1
722,"8659-001",2,"8659-001-01",2
723,"8659-001",3,"8659-001-01",3
724,"8659-001",4,"8659-001-01",4
725,"8659-001",5,"8659-001-01",5
726,"8659-001",6,"8659-001-01",6
727,"8659-001",7,"8659-001-01",7
728,"8659-001",8,"8659-001-01",8
729,"8658-001",1,"8658-001-01",1
730,"8658-001",2,"8658-001-01",2
731,"8658-001",3,"8658-001-01",3
732,"8658-001",4,"8658-001-01",4
733,"8658-001",5,"8658-001-01",5
734,"8658-001",6,"8658-001-01",6
735,"8657-001",1,"8657-001-01",1
736,"8657-001",2,"8657-001-01",2
737,"8657-001",3,"8657-001-01",3
738,"8657-001",4,"8657-001-01",4
739,"8645-001",1,"8645-001-01",1
740,"8645-001",2,"8645-001-01",2
741,"8645-001",3,"8645-001-01",3
742,"8645-001",4,"8645-001-01",4
743,"8645-001",5,"8645-001-01",5
744,"8645-001",6,"8645-001-01",6
745,"8645-001",7,"8645-001-01",7
746,"8645-001",8,"8645-001-01",8
747,"8645-001",9,"8645-001-01",9
748,"8645-001",10,"8645-001-01",10
749,"8644-001",1,,
750,"8643-001",1,"8643-001-01",1
751,"8643-001",2,"8643-001-01",2
752,"8643-001",3,"8643-001-01",3
753,"8643-001",4,"8643-001-01",4
754,"8643-001",5,"8643-001-01",5
755,"8642-001",1,"8642-001-01",1
756,"8642-001",2,"8642-001-01",2
757,"8642-001",3,"8642-001-01",3
758,"8642-001",4,"8642-001-01",4
759,"8642-001",5,"8642-001-01",5
