"interview__key","interview__id","item_id","obs_id","vil_item_avail","vil_unit_start","vil_loc_unit","vil_loc_unit_os","vil_loc_weight","vil_loc_price","vil_loc_photo","dist_item_avail","dist_unit_start","dist_loc_unit","dist_loc_unit_os","dist_loc_weight","dist_loc_price","dist_loc_photo"
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",6,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",7,1,1,1,2,,0.11,100,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",7,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",7,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",8,1,1,1,1,,0.31,500,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",8,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",8,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",9,1,1,1,1,,0.32,1000,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",9,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",9,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",10,1,2,,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",10,2,2,,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",10,3,2,,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",11,1,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",11,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",11,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",12,1,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",12,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",12,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",13,1,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",13,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",13,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",14,1,1,1,2,,2.53,1000,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",14,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",14,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",15,1,2,,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",15,2,2,,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",15,3,2,,,,,,,,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",1,1,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",1,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",1,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",2,1,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",2,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",2,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",3,1,1,1,2,,0.41,500,"** PHOTO **",1,1,2,,0.41,500,"** PHOTO **"
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",3,2,1,1,2,,0.2,300,"** PHOTO **",1,1,2,,0.2,300,"** PHOTO **"
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",3,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",4,1,1,1,1,,0.06,200,"** PHOTO **",1,1,1,,0.06,200,"** PHOTO **"
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",4,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",4,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",5,1,1,1,1,,0.09,100,"** PHOTO **",1,1,1,,0.09,100,"** PHOTO **"
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",5,2,1,1,1,,0.13,200,"** PHOTO **",1,1,1,,0.13,200,"** PHOTO **"
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",5,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",6,1,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",6,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",6,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",7,1,1,1,2,,0.52,500,"** PHOTO **",1,1,2,,0.52,500,"** PHOTO **"
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",7,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",7,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",8,1,1,1,1,,0.22,200,"** PHOTO **",2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",8,2,1,1,1,,0.26,500,"** PHOTO **",2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",8,3,1,2,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",9,1,2,,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",9,2,2,,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",9,3,2,,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",10,1,2,,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",10,2,2,,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",10,3,2,,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",11,1,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",11,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",11,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",12,1,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",12,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",12,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",13,1,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",13,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",13,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",14,1,1,1,2,,3.18,1000,"** PHOTO **",1,1,2,,3.18,1000,"** PHOTO **"
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",14,2,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",14,3,1,2,,,,,,1,2,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",15,1,2,,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",15,2,2,,,,,,,2,,,,,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",15,3,2,,,,,,,2,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",1,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",1,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",1,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",2,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",2,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",2,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",3,1,1,1,2,,0.19,200,"** PHOTO **",,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",3,2,1,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",3,3,1,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",4,1,1,1,2,,0.27,500,"** PHOTO **",,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",4,2,1,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",4,3,1,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",5,1,1,1,2,,0.26,500,"** PHOTO **",,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",5,2,1,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",5,3,1,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",6,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",6,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",6,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",7,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",7,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",7,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",8,1,1,1,1,,0.14,100,"** PHOTO **",,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",8,2,1,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",8,3,1,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",9,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",9,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",9,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",10,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",10,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",10,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",11,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",11,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",11,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",12,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",12,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",12,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",13,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",13,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",13,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",14,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",14,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",14,3,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",15,1,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",15,2,,,,,,,,,,,,,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",15,3,,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",1,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",1,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",1,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",2,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",2,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",2,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",3,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",3,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",3,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",4,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",4,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",4,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",5,1,1,1,1,,0.02,100,"** PHOTO **",,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",5,2,1,1,1,,0.03,200,"** PHOTO **",,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",5,3,1,2,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",6,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",6,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",6,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",7,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",7,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",7,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",8,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",8,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",8,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",9,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",9,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",9,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",10,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",10,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",10,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",11,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",11,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",11,3,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",12,1,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",12,2,2,,,,,,,,,,,,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",12,3,2,,,,,,,,,,,,,
