"interview__key","y5_hhid","plot_id","cropid","ag4a_01","ag4a_02","ag4a_03","ag4a_04","ag4a_05","ag4a_06","ag4a_08","ag4a_10_1","ag4a_10_2","ag4a_10a_1","ag4a_10a_2","ag4a_10b","ag4a_10c_1","ag4a_10c_2","ag4a_12","ag4a_13_1","ag4a_13_2","ag4a_17","ag4a_18","ag4a_19","ag4a_20","ag4a_21","ag4a_22","ag4a_23","ag4a_24_1","ag4a_24_2","ag4a_25","ag4a_26","ag4a_27","ag4a_28","ag4a_29_1","ag4a_29_2"
"49-38-79-42","1025-001-02",2,11,1,,,2,,"PANA",2,1,1,1,2,2,0,,,,,2,,1,,1.25,2,,8,8,,,648,180000,2,
"86-53-32-92","1042-001-01",2,11,1,,,1,2,"SEED-CO",3,60,1,0,,,60,1,60000,9,5,2,,1,,7,2,,6,6,,,5640,2115000,1,
"86-53-32-92","1042-001-01",2,34,1,,,1,2,"MBAAZI",2,10,1,0,,,10,1,10000,1,1,2,,1,,7,2,,9,9,,,480,200000,1,
"86-53-32-92","1042-001-01",2,41,1,,,1,2,"PUNDAMILIA",2,18,1,0,,,18,1,20000,9,5,1,7,1,,7,2,,5,5,,,2646,630000,1,
"51-52-11-49","1044-001-01",1,23,1,,,2,,"KIENYEJI",2,1,5,0,,,0,,,,,2,,1,,1.5,2,,7,7,,,1560,429000,1,
"68-51-31-95","1058-001-01",1,12,1,,,2,,"KILIMANJARO",2,45,1,0,,,45,1,24000,4,1,2,,1,,1,2,,6,6,,,1680,750000,1,2
"71-14-80-87","1059-001-01",1,11,2,2,1,2,,"KIENYEJI",2,3,5,3,5,2,0,,,,,1,2,1,,4,1,1,7,7,,,3600,1800000,1,2
"71-14-80-87","1059-001-01",1,13,2,2,1,2,,"KIENYEJI",2,1,5,1,5,2,0,,,,,2,,1,,1,1,5,7,7,,,1200,300000,1,2
"71-14-80-87","1059-001-01",1,22,2,1,1,2,,"KIENYEJI.",2,10,5,10,5,2,0,,,,,2,,1,,1,2,,6,9,,,2400,900000,1,2
"71-14-80-87","1059-001-01",2,11,2,2,1,2,,"KIENYEJI",2,2,5,2,5,2,0,,,,,1,3,1,,0.5,1,4,8,8,,,600,300000,1,2
"71-14-80-87","1059-001-01",2,43,2,1,1,2,,"KIENYEJI",2,2,5,2,5,2,0,,,,,2,,1,,1,1,1,7,7,,,300,120000,1,2
"79-06-68-49","1059-001-03",1,22,1,,,2,,"KIENYEJI",2,5,5,5,5,2,0,,,,,2,,1,,1,2,,5,9,,,1040,390000,1,
"79-06-68-49","1059-001-03",2,11,2,2,1,2,,"KIENYEJI",2,2,5,2,5,2,0,,,,,1,3,1,,1,1,4,7,7,,,960,400000,1,
"79-06-68-49","1059-001-03",2,13,1,,,2,,"KIENYEJI",2,2,5,2,5,2,0,,,,,1,3,1,,1,1,4,7,7,,,240,80000,1,
"71-40-42-06","1059-001-06",1,11,2,1,1,2,,"PANA",1,3,1,0,,,3,1,25000,16,2,2,,1,,3,2,,6,6,,,360,90000,1,4
"71-40-42-06","1059-001-06",1,13,2,1,1,1,2,"ASILI",2,1.5,1,1.5,1,2,0,,,,,2,,1,,2,2,,6,6,,,120,36000,1,
"71-40-42-06","1059-001-06",1,22,2,1,1,1,2,"ASILI",2,180,1,180,1,2,0,,,,,2,,1,,1,2,,4,7,,,3000,600000,1,
"71-40-42-06","1059-001-06",1,41,2,2,1,1,2,"ASILI",2,50,1,50,1,2,0,,,,,2,,1,,5,2,,6,7,,,410,820000,1,
"71-40-42-06","1059-001-06",1,43,2,1,1,1,2,"ASILI",2,15,1,15,1,2,0,,,,,2,,1,,3,2,,6,7,,,220,220000,1,
"71-40-42-06","1059-001-06",2,41,1,,,2,,"ASILI",2,20,1,20,1,2,0,,,,,2,,1,,2,2,,6,6,,,490,980000,1,
"27-54-41-37","1060-001-01",1,11,1,,,1,2,"SIDIKO",1,10,1,10,1,1,10,1,22000,4,2,2,,1,,6,1,1,4,5,,,2700,2700000,1,
"27-54-41-37","1060-001-01",1,13,2,1,1,1,2,"MBEGU YA N'HANGACHARO",3,30,1,30,1,3,0,,,,,2,,1,,4,1,2,6,6,,,1200,216000,1,
"50-50-37-47","1061-001-03",1,11,2,1,1,2,,"MBEGU ZA ASILI",2,6,2,6,2,2,0,,,,,2,,1,,6,2,,6,6,,,5184,1680000,1,5
"50-50-37-47","1061-001-03",1,13,2,1,1,2,,"NG'0LONGO",2,1.5,2,1.5,2,2,0,,,,,2,,1,,3,2,,7,7,,,1188,330000,1,5
"50-50-37-47","1061-001-03",1,22,2,1,1,2,,"NYEKUNDU NA NYEUPE",2,100,1,100,1,2,0,,,,,2,,1,,1,2,,8,9,,,4000,1200000,1,5
"50-50-37-47","1061-001-03",1,41,2,1,1,2,,"PUNDAMILIA",2,7,2,7,2,2,0,,,,,2,,1,,10,2,,5,6,,,2820,3760000,1,5
"50-50-37-47","1061-001-03",1,43,2,1,1,2,,"NYEKUNDU",2,1.5,2,1.5,2,2,0,,,,,2,,1,,4,2,,6,6,,,750,2500000,1,5
"25-09-89-03","1062-001-01",2,13,1,,,2,,"MBEGU YA KIENYEJI",2,20,2,20,2,2,0,,,,,2,,1,,3,2,,7,7,,,4000,1400000,1,2
"21-11-75-86","1063-001-01",1,11,2,1,1,1,2,"MBEGU NDEFU",2,40,1,40,1,2,0,,,,,2,,1,,7,2,,6,6,,,2700,750000,1,2
"21-11-75-86","1063-001-01",1,41,2,1,1,2,,"PUNDAMILIA",2,20,1,20,1,2,0,,,,,2,,1,,4,2,,7,7,,,1050,900000,1,2
