"interview__key","y5_hhid","plot_id","cropid","ag4a_01","ag4a_02","ag4a_03","ag4a_04","ag4a_05","ag4a_06","ag4a_08","ag4a_10_1","ag4a_10_2","ag4a_10a_1","ag4a_10a_2","ag4a_10b","ag4a_10c_1","ag4a_10c_2","ag4a_12","ag4a_13_1","ag4a_13_2","ag4a_17","ag4a_18","ag4a_19","ag4a_20","ag4a_21","ag4a_22","ag4a_23","ag4a_24_1","ag4a_24_2","ag4a_25","ag4a_26","ag4a_27","ag4a_28","ag4a_29_1","ag4a_29_2"
"42-26-57-76","4085-001-01",3,22,2,1,1,2,,"ASILI",2,50,1,50,1,2,0,,,,,2,,1,,0.25,2,,2,2,,,300,30000,1,3
"42-26-57-76","4085-001-01",3,32,2,3,1,1,2,"ASILI",2,2,1,2,1,2,0,,,,,2,,1,,0.75,2,,2,2,,,20,20000,1,3
"42-26-57-76","4085-001-01",3,33,2,3,1,1,2,"ASILI",2,3,1,3,1,2,0,,,,,2,,1,,0.75,2,,2,2,,,400,400000,1,3
"42-26-57-76","4085-001-01",3,43,2,3,1,1,2,"ASILI",2,3,1,3,1,2,0,,,,,2,,1,,0.75,2,,2,2,,,90,60000,1,3
"42-26-57-76","4085-001-01",4,12,1,,,2,,"ASILI",2,12,1,12,1,2,0,,,,,2,,1,,1,2,,6,6,,,520,600000,1,3
"04-41-69-29","4097-001-01",1,11,1,,,1,2,"MBEGU ZA KIENYEJI",2,1,1,1,1,2,0,,,,,2,,1,,0.1,2,,9,8,,,54,18000,1,
"12-33-52-63","4100-001-01",1,11,1,,,2,,"MBEGU YA ASILI",2,5,1,0,,,0,,,,,2,,1,,0.5,2,,6,6,,,800,240000,1,
"25-99-47-09","4100-001-02",1,16,1,,,2,,"NJOMBE 7",3,1.5,2,1.5,2,3,0,,,,,2,,1,,0.75,2,,8,8,,,140,105000,2,
"25-99-47-09","4100-001-02",3,11,1,,,2,,"KIENYEJI",2,2,1,2,1,2,0,,,,,2,,1,,0.25,2,,6,8,,,210,31500,2,
"11-60-09-72","4116-001-01",1,11,1,,,1,2,"MBEGU ZA KIENYEJI",2,4,1,4,1,2,0,,,,,2,,1,,0.5,2,,8,8,,,360,100000,1,
"11-60-09-72","4116-001-01",1,31,1,,,1,2,"SALUNDU",2,4,1,4,1,2,0,,,,,1,7,2,5,,,,,,,,,,,
"11-60-09-72","4116-001-01",2,11,1,,,2,,"PANAR",1,2,1,0,,,2,1,12000,9,1,2,,1,,0.5,2,,8,8,,,720,200000,1,
"17-66-26-34","4118-001-01",1,11,1,,,2,,"MAHINDI",1,3,1,0,,,3,1,36000,9,1,2,,1,,1,2,,7,7,,,480,120000,1,2
"69-13-58-82","4120-001-01",1,11,2,2,1,1,2,"PANA",1,6,1,6,1,1,6,1,24000,16,1,2,,1,,2,2,,5,7,,,3080,4500054,1,2
"69-13-58-82","4120-001-01",1,31,2,1,1,1,2,"LESKOKU",2,10,1,10,1,2,0,,,,,2,,1,,1,1,2,2,4,,,20,20000,1,2
"69-13-58-82","4120-001-01",1,41,2,1,1,1,2,"KIENYEJI ALIZETI",2,1,3,1,3,2,0,,,,,2,,1,,1,2,,6,6,,,55,36000,1,2
"85-78-30-98","4120-001-03",1,11,1,,,1,2,"TEMBO",1,2,1,0,,,2,1,12000,16,1,2,,1,,0.25,2,,3,7,,,200,50000,1,
"85-78-30-98","4120-001-03",1,31,2,2,3,1,2,"SELUNDU",2,2,1,0,,,2,1,4000,16,1,2,,1,,0.15,1,2,2,3,,,10,20000,1,
"99-38-87-71","4121-001-02",1,11,1,,,2,,"KIENYEJI",2,4,4,4,4,2,0,,,,,2,,1,,1,2,,4,7,,,300,75000,2,
"99-38-87-71","4121-001-02",2,11,1,,,1,2,"SEED CO TEMBO",1,8,1,0,,,8,1,48000,9,2,2,,1,,0.5,1,9,4,7,,,560,140000,2,
"99-38-87-71","4121-001-02",2,31,2,2,1,1,2,"SOYA",2,10,1,10,1,2,0,,,,,2,,1,,1,2,,2,4,,,80,120000,2,
"99-38-87-71","4121-001-02",3,11,2,2,8,2,,"KIENYEJI",2,3,1,3,1,2,0,,,,,2,,1,,1,2,,7,7,,,120,60000,2,3
"22-45-82-05","4122-001-01",1,11,1,,,1,2,"PANNA",1,6,1,0,,,6,1,30000,9,3,2,,1,,1,2,,7,7,,,600,90000,1,
"22-45-82-05","4122-001-01",1,31,1,,,1,2,"SALUNDU",2,5,1,5,1,2,0,,,,,1,6,2,4,,,,,,,,,,,
"26-75-76-20","4123-001-01",1,11,1,,,2,,"MBEGU  BORA",1,10,1,0,,,12,1,60000,5,1,2,,1,,7,2,,3,8,,,1800,900000,1,2
"26-75-76-20","4123-001-01",1,31,2,1,8,1,2,"MBEGU BORA",1,10,1,0,,,10,1,5000,3,1,2,,1,,0.4,2,,8,8,,,50,85000,1,2
"82-88-76-78","4136-001-01",1,998,1,,,2,,"MUHOGO",2,1000,5,1000,5,2,0,,,,,2,,2,2,,,,,,,,,,,
"82-88-76-78","4136-001-01",3,11,1,,,2,,"MAHINDI",2,3,1,3,1,2,0,,,,,1,2,1,,1.5,2,,7,8,,,400,200000,1,2
"19-64-20-93","4137-001-01",1,11,1,,,1,2,"KANJEWARA",2,1,1,1,1,2,0,,,,,2,,1,,0.5,2,,7,7,,,180,90000,1,
"19-64-20-93","4137-001-01",1,31,1,,,1,2,"NJANO",2,2,1,0,,,2,1,5000,4,3,2,,1,,0.5,2,,3,3,,,20,50000,1,
"19-64-20-93","4137-001-01",1,41,1,,,1,2,"ALIZETI NYEUPE",2,0.25,1,0.25,1,2,0,,,,,2,,1,,0.5,2,,7,7,,,14,6000,1,
"19-64-20-93","4137-001-01",4,11,2,2,1,2,,"KIASILI",2,3,1,3,1,2,0,,,,,2,,1,,0.5,2,,6,7,,,220,140000,1,
"19-64-20-93","4137-001-01",4,22,2,1,1,2,,"MBATATA",2,30,1,30,1,2,0,,,,,1,3,1,,0.25,2,,4,5,,,200,50000,1,
"53-43-54-84","4137-001-06",1,998,2,1,1,2,,"ASILI",2,5,5,5,5,2,0,,,,,2,,2,2,,,,,,,,,,,
"53-43-54-84","4137-001-06",2,11,2,1,1,2,,"KIENYEJI",2,7,1,7,1,2,0,,,,,2,,1,,1.5,2,,3,7,,,180,63000,1,2
"83-49-56-57","4139-001-01",1,11,1,,,1,2,"MBEGU ZA KIENYEJI",2,3,1,3,1,2,0,,,,,2,,1,,1,2,,8,8,,,540,210000,1,
"83-49-56-57","4139-001-01",1,31,1,,,1,2,"MAHARAGE YA NJANO",2,10,1,10,1,2,0,,,,,1,7,1,,1,1,2,2,2,,,20,32000,1,
"83-49-56-57","4139-001-01",2,11,1,,,1,2,"MBEGU ZA KIENYEJI",2,3.5,1,3.5,1,2,0,,,,,1,7,1,,1.5,1,2,8,8,,,270,105000,1,
"66-95-65-17","4140-001-01",2,11,2,3,8,1,2,"MBEGU  YA ASILI",2,20,1,20,1,2,0,,,,,2,,1,,1,2,,9,9,,,800,1600000,1,2
"66-95-65-17","4140-001-01",3,11,1,,,2,,"MBEGU YA ASILI",2,5,1,5,1,2,0,,,,,2,,1,,0,2,,6,6,,,100,80000,1,
"61-45-39-14","4140-001-03",2,11,1,,,1,2,"KIENYEJI MALOMBI",2,2,1,0,,,0,,,,,2,,1,,0.75,2,,5,7,,,360,160000,1,2
"45-74-24-36","4141-001-01",1,31,2,2,1,1,2,"NJANO FUPI",2,5,1,0,,,5,1,25000,10,3,2,,1,,0.5,2,,3,4,,,60,150000,1,2
"45-74-24-36","4141-001-01",2,11,2,2,1,1,2,"MBEGU NDEFU",2,5,1,5,1,2,0,,,,,1,2,1,,0.5,2,,3,6,,,1400,350000,1,2
"11-85-36-84","4142-001-01",2,11,2,2,3,1,2,"MAHINDI YA ASILI",2,10,1,10,1,2,0,,,,,2,,1,,2,2,,4,7,,,320,210000,1,2
"17-60-45-74","4154-001-01",1,11,2,2,1,1,2,"MBEGU BORA",1,4,1,0,,,4,1,12000,16,1,2,,1,,1,2,,8,8,,,204,120000,1,2
"17-60-45-74","4154-001-01",1,32,2,1,1,1,2,"MBEGU ZA ASILI",2,0.5,1,0.5,1,2,0,,,,,2,,1,,0.5,2,,7,7,,,18,36000,1,2
"17-60-45-74","4154-001-01",4,11,1,,,1,2,"MBEGU ZA ASILI",2,4,1,4,1,2,0,,,,,1,8,2,6,,,,,,,,,,,
"62-89-78-46","4158-001-01",1,11,1,,,1,2,"ASILI",2,4,1,0,,,4,1,4000,4,1,2,,1,,2,2,,5,5,,,144,80000,1,
"06-97-45-52","4159-001-01",4,11,1,,,2,,"STAR",2,10,1,0,,,0,,,,,1,8,1,,2,1,1,7,7,,,840,420000,2,3
"75-63-76-42","4161-001-01",2,11,2,3,1,2,,"MBEGU YA MAHINDI YA KIENYEJI",2,10,1,10,1,2,0,,,,,1,2,1,,2.5,2,,6,7,,,80,28000,7,8
"75-63-76-42","4161-001-01",3,11,2,2,8,2,,"MBEGU YA MAHINDI YA KIENYEJI",2,4,1,4,1,2,0,,,,,1,2,2,6,,,,,,,,,,,
"57-63-62-50","4178-001-04",1,11,1,,,2,,"MBEGU YA MDAMFUPI",1,0.5,1,0,,,0.5,1,500,9,1,2,,2,6,,,,,,,,,,,
"30-35-93-51","4192-001-01",2,12,1,,,2,,"SUPPER",2,22,1,22,1,2,0,,,,,2,,1,,1,2,,6,7,,,80,80000,1,
"98-25-88-29","4193-001-01",1,11,1,,,1,2,"MAHINDI",2,5,1,5,1,2,0,,,,,2,,1,,2.5,2,,6,6,,,300,150000,1,
"98-25-88-29","4193-001-01",1,32,1,,,1,2,"KUNDE",2,1,1,1,1,2,0,,,,,2,,1,,0.75,2,,6,6,,,80,80000,1,
"98-25-88-29","4193-001-01",2,11,1,,,2,,"MAHINDI",2,10,1,10,1,2,0,,,,,2,,1,,4,1,9,6,6,,,500,250000,1,
"01-53-37-23","4195-001-01",0,22,2,2,1,1,2,"KANADA",2,2,1,2,1,2,0,,,,,2,,1,,0.5,2,,6,7,,,50,23000,2,
"01-53-37-23","4195-001-01",0,92,2,1,1,1,2,"NENE",2,300,5,300,5,2,0,,,,,2,,1,,0.2,2,,3,6,,,7,14000,2,
"01-53-37-23","4195-001-01",0,998,2,1,1,1,2,"MATEMBELE  MANENE",2,3,1,3,1,2,0,,,,,2,,1,,0.2,2,,3,6,,,10,6000,2,
"25-39-51-76","4197-001-01",0,11,2,1,1,1,2,"MBEGU ZA ASILI",2,1,4,0,,,1,4,300,5,2,2,,1,,0.25,1,1,6,6,,,10,15000,1,2
"25-39-51-76","4197-001-01",1,11,1,,,1,2,"MBEGU ZA ASILI",2,2,1,0,,,2,1,2000,4,2,2,,1,,2,1,1,6,6,,,30,30000,1,
"17-78-73-00","4198-001-01",0,998,2,3,7,2,,"MUHOGO",2,210,1,0,,,0,,,,,1,6,1,,3,1,2,7,9,,,420,175000,1,
"91-79-97-08","4199-001-01",0,12,2,3,8,2,,"MBEGU YA MPUNGA",2,2,1,2,1,2,0,,,,,2,,1,,2,2,,6,6,,,300,120000,2,
"62-29-18-13","4211-001-01",1,11,1,,,1,2,"MBEGU  FUPI",2,3,1,0,,,3,1,3000,4,1,1,2,1,,2,1,5,6,6,,,160,160000,1,
"62-29-18-13","4211-001-01",1,32,1,,,1,2,"KUNDE  NDOGO",2,500,5,0,,,500,5,1000,4,1,1,2,1,,0.4,2,,2,4,,,40,40000,1,
"62-29-18-13","4211-001-01",1,92,2,1,1,1,2,"MABOGA  YA  MDUARA",2,250,5,0,,,0,,,,,2,,1,,0.2,2,,2,4,,,55,25000,1,
"24-61-09-85","4211-001-02",1,11,1,,,1,2,"MBEGU   FUPI",2,2,1,0,,,2,1,2800,16,1,1,2,1,,2,1,5,6,6,,,90,80000,1,3
"24-61-09-85","4211-001-02",1,32,2,1,1,1,2,"KUNDE  NDOGO",2,500,5,0,,,500,5,1000,16,1,1,2,1,,0.3,1,5,2,5,,,27,16000,1,3
"24-61-09-85","4211-001-02",1,42,1,,,1,2,"NENDELE",2,1,1,0,,,0,,,,,2,,1,,2,2,,6,6,,,140,280000,1,4
"24-61-09-85","4211-001-02",1,92,2,1,1,1,2,"BOGA",2,250,5,0,,,0,,,,,2,,1,,0.2,2,,2,3,,,35,13000,1,3
"24-61-09-85","4211-001-02",2,11,1,,,1,2,"MBEGU   FUPI",2,2,1,0,,,2,1,2800,16,1,1,2,1,,2,1,5,6,6,,,85,90000,1,
"24-61-09-85","4211-001-02",2,42,1,,,1,2,"NENDELE",2,1,1,0,,,0,,,,,2,,1,,2,2,,6,6,,,120,240000,1,
"45-29-72-64","4212-001-02",5,11,1,,,1,2,"MBEGU ZA ASILI",2,0.5,1,0.5,1,2,0,,,,,1,2,1,,0.5,1,5,6,7,,,20,14000,2,
"45-29-72-64","4212-001-02",5,24,1,,,1,2,"MBEGU ZA ASILI",2,1.5,2,1.5,2,2,0,,,,,2,,1,,0.5,2,,6,12,,,124,62000,2,
"45-29-72-64","4212-001-02",5,32,2,1,4,1,2,"MBEGU ZA ASILI",2,0.5,3,0.5,3,2,0,,,,,2,,1,,0.5,2,,5,5,,,13,15600,2,
"45-29-72-64","4212-001-02",5,34,2,1,1,1,2,"MBEGU ZA ASILI",2,1,3,1,3,2,0,,,,,2,,1,,0.1,2,,7,7,,,5,10000,2,
"45-29-72-64","4212-001-02",5,100,2,1,1,1,2,"MBEGU ZA ASILI",2,0.5,3,0.5,3,2,0,,,,,2,,1,,0.1,2,,6,6,,,12,9600,2,
"15-03-38-51","4213-001-01",2,42,2,1,1,2,,"LINDI -1",1,2,1,0,,,2,1,20000,9,1,2,,1,,3,2,,5,6,,,480,1200000,1,2
"15-03-38-51","4213-001-01",3,11,2,2,3,2,,"KIENYEJI",2,5,1,0,,,5,1,10000,9,1,2,,1,,2,2,,7,7,,,400,200000,1,2
"18-95-24-27","4214-001-02",3,42,1,,,2,,"MBEGU ZA ASILI",2,1,1,1,1,2,0,,,,,1,2,1,,1,1,5,6,6,,,200,400000,1,
"84-29-09-24","4216-001-01",2,12,1,,,2,,"MBEGU ZA ASILI",2,1,5,1,5,2,0,,,,,1,1,1,,1.5,2,,6,6,,,300,168000,1,2
"10-54-43-56","4217-001-01",3,24,1,,,1,1,"MBEGU ZA ASILI",2,2,5,2,5,2,0,,,,,2,,1,,2,2,,6,0,60,,463,40000,1,2
"83-33-51-91","4232-001-01",1,12,2,2,1,2,,"MBEGU ZA ASILI",2,20,1,20,1,2,0,,,,,2,,1,,1.5,2,,6,7,,,470,1820000,7,8
"40-02-49-45","4234-001-01",1,11,2,2,8,2,,"MAHINDI",2,0.25,1,0.25,1,2,0,,,,,2,,1,,0.25,2,,12,12,,,20,12000,2,
"40-02-49-45","4234-001-01",2,12,1,,,2,,"MPUNGA",2,5,1,5,1,2,0,,,,,2,,1,,0.25,2,,6,6,,,150,45000,2,
"00-45-18-14","4249-001-01",2,22,1,,,2,,"MBEGU YA ASILI",2,80,1,0,,,0,,,,,2,,1,,0.45,2,,4,4,,,400,150000,1,
"40-28-44-00","4250-001-01",3,31,1,,,2,,"WHITE AU MAHARAGE MEUPE",2,20,1,20,1,2,0,,,,,1,2,1,,1.5,1,5,6,6,,,240,160000,1,2
"37-53-47-86","4251-001-01",1,11,1,,,1,2,"SIDICO",1,3,2,0,,,3,2,15000,2,1,2,,1,,4,2,,6,7,,,1500,525000,1,2
"37-53-47-86","4251-001-01",1,31,2,2,1,1,2,"MBEGU NYEUPE",2,3,1,3,1,2,0,,,,,2,,1,,2,2,,6,7,,,300,270000,1,2
"37-53-47-86","4251-001-01",2,31,2,2,1,2,,"MBEGU NYEUPE",2,3,2,3,2,2,0,,,,,2,,1,,3,2,,6,7,,,200,180000,1,2
"62-59-88-18","4251-001-04",1,11,2,2,1,2,,"MCHANGANYIKO",2,20,1,20,1,2,0,,,,,2,,1,,2,2,,2,6,,,1320,275000,1,
"62-59-88-18","4251-001-04",1,31,2,2,1,2,,"KALIMA",2,60,1,60,1,2,0,,,,,2,,1,,2,2,,2,3,,,480,480000,1,
"62-59-88-18","4251-001-04",1,41,2,1,4,2,,"ALIZETI YA KIENYEJI",2,1,1,0,,,1,1,0,1,1,2,,1,,1,2,,6,6,,,45,24000,1,
"31-68-16-83","4252-001-01",2,11,2,3,8,1,2,"KIMAMBWE",2,6,2,6,2,2,0,,,,,2,,1,,4,2,,4,7,,,6000,1000000,1,2
"31-68-16-83","4252-001-01",2,31,2,3,4,1,2,"KIENYEJI",2,6,2,6,2,2,0,,,,,2,,1,,4,2,,4,6,,,2520,630000,1,2
"91-89-73-12","4252-001-03",1,31,1,,,2,,"MBEGU YA MAHARAGE  MEUPE",2,6,2,6,2,2,0,,,,,1,7,1,,4,1,2,6,6,,,600,500000,1,2
"49-80-80-49","4253-001-01",1,31,2,1,4,2,,"MAHARAGE (KABALIMA)",2,5,2,5,2,2,0,,,,,1,3,1,,1,2,,5,6,,,360,270000,3,4
"69-54-12-63","4254-001-01",3,11,1,,,2,,"8",2,8,1,8,1,2,0,,,,,1,7,1,,0.5,1,2,3,5,,,300,30000,1,
"69-54-12-63","4254-001-01",4,31,1,,,2,,"KABALIMA",2,1,2,1,2,2,0,,,,,2,,1,,0.5,1,4,3,6,,,80,40000,1,
"57-75-82-48","4255-001-01",1,11,1,,,1,2,"KIENYEJI",2,8,1,8,1,2,0,,,,,1,7,1,,0.75,1,9,6,6,,,480,108000,1,
"57-75-82-48","4255-001-01",1,31,1,,,1,2,"MEUPE",2,4,2,4,2,2,0,,,,,1,7,1,,0.5,1,9,2,3,,,140,70000,1,
"30-61-10-20","4270-001-01",4,11,1,,,2,,"SIMBA",1,2,1,0,,,2,1,12500,9,1,2,,1,,0.5,2,,4,4,,,240,60000,3,6
"30-61-10-20","4270-001-01",4,31,2,2,3,1,2,"KIGOMA",2,4,1,0,,,4,1,10000,4,1,2,,2,3,,,,,,,,,,,
"30-61-10-20","4270-001-01",5,12,1,,,2,,"JEHA",2,20,1,0,,,20,1,10000,4,1,2,,1,,1,2,,5,6,,,560,210000,3,6
"80-41-93-59","4271-001-01",1,11,2,2,1,2,,"MBEGU ZA KIENYEJI",2,1,1,1,1,2,0,,,,,2,,1,,0.12,2,,4,4,,,72,20000,1,2
"80-41-93-59","4271-001-01",2,12,1,,,2,,"GEHA",2,15,1,15,1,2,0,,,,,2,,1,,1.5,2,,5,6,,,3240,1260000,1,2
"80-41-93-59","4271-001-01",3,11,2,3,1,2,,"MBEGU ZA KIENYEJI",2,18,1,18,1,2,0,,,,,1,1,1,,4,1,9,4,4,,,1080,400000,1,2
"43-23-22-29","4271-001-02",1,11,1,,,2,,"KIASILI",2,1,1,1,1,2,0,,,,,2,,1,,0.1,2,,5,5,,,60,15000,2,
"43-23-22-29","4271-001-02",2,12,1,,,2,,"GYEHA",2,30,1,30,1,2,0,,,,,2,,1,,1,2,,5,6,,,525,175000,2,
"43-23-22-29","4271-001-02",3,11,2,1,3,1,2,"SIDICO",1,4,1,0,,,4,1,48000,16,3,2,,1,,2,1,2,5,5,,,600,150000,2,
"43-23-22-29","4271-001-02",3,43,2,1,3,1,2,"KIASILI",2,20,1,0,,,20,1,18000,4,3,1,7,1,,1,1,2,3,3,,,80,80000,2,
"67-84-80-74","4272-001-01",1,11,2,1,1,1,2,"SIDICO",1,1,1,0,,,1,1,5000,4,1,2,,1,,0.4,2,,3,4,,,108,35000,1,3
"67-84-80-74","4272-001-01",1,31,2,1,1,1,2,"KABLANGETI",1,0.5,1,0,,,0.5,1,2000,4,1,2,,1,,0.4,2,,2,3,,,4,8000,1,
"67-84-80-74","4272-001-01",2,11,2,1,1,1,2,"SIDICO",1,2,1,0,,,2,1,7500,4,1,2,,1,,0.4,2,,3,4,,,108,35000,1,3
"67-84-80-74","4272-001-01",2,31,2,1,1,1,2,"KABALIMA",1,2,1,0,,,2,1,3000,4,1,2,,1,,0.4,2,,3,3,,,8,36000,1,
"67-84-80-74","4272-001-01",3,12,1,,,2,,"GEHA",2,1,2,0,,,1,2,5000,1,1,2,,1,,1,2,,5,6,,,1485,571666,1,3
"10-28-66-79","4273-001-01",1,11,1,,,2,,"KIENYEJI",2,1,2,1,2,2,0,,,,,1,6,1,,1,1,2,1,4,,,1200,300000,1,2
"10-28-66-79","4273-001-01",1,22,2,1,1,2,,"KIENYEJI",2,7,5,7,5,2,0,,,,,2,,1,,0.5,2,,2,5,,,800,180000,1,2
"10-28-66-79","4273-001-01",3,12,1,,,2,,"GEHA",2,1,2,1,2,2,0,,,,,2,,1,,1,2,,5,5,,,2520,980000,1,2
"42-50-43-00","4274-001-01",1,11,1,,,2,,"MBEGU YA ASILI",2,20,1,20,1,2,0,,,,,1,7,1,,2,1,2,7,7,,,500,200000,1,
"42-50-43-00","4274-001-01",1,22,2,1,8,1,3,"MBEGU YA ASILI",2,100,1,100,1,2,0,,,,,2,,1,,0,2,,6,7,,,425,75000,1,
"42-50-43-00","4274-001-01",2,12,1,,,2,,"MBEGU YA ASILI",2,40,1,40,1,2,0,,,,,2,,1,,1,2,,6,6,,,3200,1200000,1,
"31-50-94-42","4275-001-01",1,11,2,2,1,1,2,"MAHINDI",3,6,1,0,,,6,1,4000,2,1,2,,1,,2,2,,4,4,,,580,145000,1,
"31-50-94-42","4275-001-01",1,31,2,2,1,1,2,"MAHARAGE",2,1,1,0,,,1,1,3000,4,2,2,,1,,1,2,,2,0,14,,26,10000,1,
"96-41-62-54","4287-001-01",1,11,1,,,1,2,"MBEGU ZA KIENYEJI",2,5,1,5,1,2,0,,,,,2,,1,,0.2,2,,6,6,,,180,50000,2,
"96-41-62-54","4287-001-01",1,31,1,,,1,2,"KIGOMA",2,4,1,4,1,2,0,,,,,2,,1,,0.2,2,,3,3,,,40,50000,2,
"87-52-88-38","4288-001-01",1,11,2,2,1,1,2,"PANA",1,8,1,0,,,8,1,48000,9,3,2,,1,,2,2,,3,6,,,840,168000,1,
"87-52-88-38","4288-001-01",1,31,2,2,1,1,2,"KIENYEJI",2,10,1,10,1,2,0,,,,,1,7,1,,0.25,1,4,2,2,,,30,25000,1,
"58-09-19-58","4289-001-01",1,31,1,,,1,2,"KIGOMA",2,2,1,0,,,2,1,4000,4,3,1,7,1,,0.2,2,,3,3,,,2,3000,1,
"58-09-19-58","4289-001-01",3,11,1,,,1,2,"MBEGU ZA KIENYEJI",2,4,1,4,1,2,0,,,,,2,,1,,0.5,2,,6,6,,,72,20000,1,
"58-09-19-58","4289-001-01",3,31,1,,,1,2,"KIBLANKETI",2,4,1,4,1,2,0,,,,,2,,1,,0.5,2,,3,3,,,20,25000,1,
"91-36-93-28","4290-001-01",2,11,2,2,3,1,2,"MBEGU BORA",1,20,1,0,,,20,1,100000,20,1,2,,1,,5,2,,3,7,,,2000,600000,1,2
"91-36-93-28","4290-001-01",2,31,2,1,8,1,2,"MBEGU YA KIENYEJI",2,40,1,0,,,40,1,50000,3,2,1,3,1,,1,1,4,4,4,,,200,300000,1,2
"91-36-93-28","4290-001-01",2,41,2,2,3,1,2,"MBEGU YA KIENYEJI",2,15,1,15,1,2,0,,,,,2,,1,,1,2,,3,4,,,120,100000,1,2
"91-36-93-28","4290-001-01",2,43,2,1,3,1,2,"MBEGU YA KIENYEJI",2,20,1,20,1,2,0,,,,,2,,1,,1,2,,3,4,,,250,225000,1,2
"89-06-08-54","4292-001-01",1,11,1,,,2,,"PAYONEA",1,10,1,0,,,10,1,50000,16,1,2,,2,5,,,,,,,,,,,
"89-06-08-54","4292-001-01",1,31,1,,,2,,"KIGOMA",2,1,5,0,,,1,5,40000,4,1,2,,1,,0.5,1,1,6,7,,,80,140000,1,
"68-60-12-21","4306-001-01",1,11,1,,,2,,"MBEGU ZA ASILI",2,2,1,0,,,2,1,1200,9,2,2,,1,,1,2,,5,6,,,90,72000,1,2
"68-60-12-21","4306-001-01",2,11,2,2,1,1,2,"MBEGU KUBWA",2,2,1,0,,,2,1,1200,9,2,2,,1,,1,2,,5,6,,,108,36000,1,2
"68-60-12-21","4306-001-01",2,12,2,2,1,2,,"KALIMA WANGU",1,20,1,0,,,20,1,10000,9,2,2,,1,,1,2,,6,7,,,300,300000,1,2
"68-60-12-21","4306-001-01",3,11,2,2,1,1,2,"MBEGU KUBWA",2,2,1,2,1,2,2,1,1200,9,2,2,,1,,1,2,,5,6,,,120,36000,1,2
"68-60-12-21","4306-001-01",3,43,2,1,1,1,2,"UPENDO",1,1,1,0,,,1,1,5000,9,3,2,,1,,0.25,2,,5,6,,,15,24000,1,2
"54-41-93-39","4306-001-04",1,12,2,3,4,2,,"MITALIMA WANGU",2,2,2,0,,,2,2,30000,2,1,1,1,1,,1.75,2,,5,6,,,600,252000,1,
"27-81-46-11","4307-001-01",1,42,2,1,1,2,,"MBEGU ZA KIENYEJI",2,1,4,1,4,2,0,,,,,2,,1,,1,2,,5,5,,,34,50000,1,2
"27-81-46-11","4307-001-01",2,12,1,,,2,,"MBEGU ZA KIENYEJI",2,1,2,0,,,1,2,10000,1,2,2,,1,,1,2,,5,6,,,420,126000,1,2
"27-81-46-11","4307-001-01",3,11,1,,,1,2,"MBEGU ZA KIENYEJI",2,10,1,10,1,2,0,,,,,1,7,1,,2,2,,8,8,,,180,63000,1,2
"27-81-46-11","4307-001-01",3,34,1,,,1,2,"MBEGU ZA KIENYEJI",2,3,1,0,,,3,1,1500,3,1,1,7,1,,2,2,,6,6,,,10,3000,1,2
"48-26-35-36","4308-001-01",3,11,1,,,1,2,"MBEGU YA KIENYEJI",2,0.5,1,0.5,1,2,0,,,,,2,,1,,0.2,2,,2,4,,,85,17000,1,
"48-26-35-36","4308-001-01",3,34,1,,,1,2,"MBEGU YA KIENYEJI",2,0.25,1,0.25,1,2,0,,,,,2,,1,,0.2,2,,5,6,,,40,12000,1,
"48-26-35-36","4308-001-01",4,11,2,2,3,1,2,"MBEGU YA KIENYEJI",2,5,1,0,,,5,1,5000,2,1,1,7,1,,1.5,2,,6,6,,,51,20400,1,7
"48-26-35-36","4308-001-01",4,34,2,2,3,1,2,"MBEGU YA KIENYEJI",2,1,1,0,,,1,1,1000,2,1,1,2,1,,1.5,2,,7,6,,,40,12000,1,7
"48-26-35-36","4308-001-01",4,42,2,1,3,2,,"TATU MBILI",1,0.5,1,0,,,0.5,1,2500,2,1,1,3,1,,1,2,,5,6,,,84,109200,1,7
"48-26-35-36","4308-001-01",5,11,2,2,3,2,,"MBEGU YA KIENYEJI",2,1,1,1,1,2,0,,,,,2,,1,,1,2,,7,7,,,68,27200,1,7
"48-26-35-36","4308-001-01",5,42,2,3,3,2,,"TATU MBILI",1,1,1,0,,,1,1,5000,2,1,2,,1,,2,2,,5,6,,,420,546000,1,7
"31-91-85-56","4309-001-01",1,11,2,2,1,1,2,"MAHINDI",2,20,1,20,1,2,0,,,,,1,3,1,,1,1,4,6,7,,,180,45000,1,2
"31-91-85-56","4309-001-01",1,22,2,1,1,1,2,"VIAZI VITAMU",2,30,1,0,,,0,,,,,2,,1,,0.5,2,,6,7,,,45,25000,1,2
"31-91-85-56","4309-001-01",1,34,2,1,1,1,3,"MBAAZI",2,10,1,10,1,2,0,,,,,2,,1,,0.5,2,,8,9,,,80,40000,1,2
"31-91-85-56","4309-001-01",3,11,2,1,1,1,2,"MAHINDI",2,10,1,10,1,2,0,,,,,2,,1,,3,2,,6,7,,,900,225000,1,2
"31-91-85-56","4309-001-01",3,32,2,1,1,1,2,"KUNDE",2,1,1,1,1,2,0,,,,,1,3,1,,1,2,,4,5,,,68,54400,1,2
"31-91-85-56","4309-001-01",3,33,2,1,1,1,2,"CHOROKO",2,1,1,1,1,2,0,,,,,1,3,1,,2,2,,4,5,,,72,72000,1,2
