"interview__key","y5_hhid","cropid","ag10_02_1","ag10_02_2","ag10_02_3","ag10_03","ag10_02_2a","ag10_02_2b","ag10_02_2c","ag10_02_2d","ag10_02_2e","ag10_02_2f","ag10_02_2g","ag10_02_2h","ag10_02_2i","ag10_02_2j","ag10_04_1","ag10_04_2","ag10_05","ag10_06","ag10_07_1","ag10_07_2","ag10_08","ag10_09_1","ag10_09_2","ag10_10_1","ag10_10_2","ag10_11","ag10_12_1a","ag10_12_1b","ag10_12_2a","ag10_12_2b","ag10_13","ag10_14"
"39-26-37-98","1000-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,324,1,324,2,,,,,,,,,,,,,2,
"87-35-70-53","1002-001-01",1,"MAHINDI",11,1,1,11,41,,,,,,,,,360,1,360,2,,,,,,,,,,,,,1,36000
"87-35-70-53","1002-001-01",2,"ALIZETI",41,1,3,41,,,,,,,,,,20,2,75,2,,,,,,,,,,,,,1,12000
"87-35-70-53","1002-001-01",3,"MAHINDI",11,1,2,11,,,,,,,,,,120,1,240,2,,,,,,,,,,,,,1,24000
"87-35-70-53","1002-001-01",4,"PUMBA",11,2,9,11,,,,,,,,,,120,1,240,2,,,,,,,,,,,,,2,
"90-92-88-29","1003-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,900,1,920,2,,,,,,,,,,,,,1,10800
"90-92-88-29","1003-001-01",2,"ALIZETI",41,1,3,41,,,,,,,,,,7,2,80,2,,,,,,,,,,,,,2,
"16-34-22-80","1005-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,264,1,240,2,,,,,,,,,,,,,1,28800
"91-42-46-84","1009-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,648,1,648,2,,,,,,,,,,,,,1,54000
"49-38-79-42","1025-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,108,1,108,2,,,,,,,,,,,,,1,3000
"68-51-31-95","1058-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,245,1,350,2,,,,,,,,,,,,,1,22000
"68-51-31-95","1058-001-01",2,"MPUNGA",12,2,11,12,,,,,,,,,,105,1,350,2,,,,,,,,,,,,,2,
"71-14-80-87","1059-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,1440,1,1440,2,,,,,,,,,,,,,1,72000
"71-14-80-87","1059-001-01",2,"MTAMA",13,1,1,13,,,,,,,,,,600,1,600,2,,,,,,,,,,,,,1,30000
"79-06-68-49","1059-001-03",1,"MAHINDI",11,1,1,11,,,,,,,,,,840,1,840,2,,,,,,,,,,,,,1,42000
"79-06-68-49","1059-001-03",2,"MTAMA",13,1,1,13,,,,,,,,,,240,1,240,2,,,,,,,,,,,,,1,12000
"71-40-42-06","1059-001-06",1,"MAHINDI",11,1,1,11,,,,,,,,,,350,1,360,2,,,,,,,,,,,,,1,9000
"71-40-42-06","1059-001-06",2,"MTAMA",13,1,1,13,,,,,,,,,,120,1,120,2,,,,,,,,,,,,,1,6000
"71-40-42-06","1059-001-06",3,"ALIZETI",41,1,3,41,,,,,,,,,,40,2,70,2,,,,,,,,,,,,,1,6000
"71-40-42-06","1059-001-06",4,"ALIZETI",41,2,10,41,,,,,,,,,,30,1,70,2,,,,,,,,,,,,,2,
"71-40-42-06","1059-001-06",5,"MAHINDI",11,2,9,11,,,,,,,,,,10,1,360,2,,,,,,,,,,,,,2,
"50-50-37-47","1061-001-03",1,"MAHINDI",11,1,1,11,,,,,,,,,,540,1,540,2,,,,,,,,,,,,,1,24000
"50-50-37-47","1061-001-03",2,"MTAMA",13,1,1,13,,,,,,,,,,78,1,78,2,,,,,,,,,,,,,1,3500
"21-11-75-86","1063-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,2872,1,2872,2,,,,,,,,,,,,,1,160000
"21-11-75-86","1063-001-01",2,"ALIZETI",41,1,3,41,,,,,,,,,,40,2,140,2,,,,,,,,,,,,,2,
"21-11-75-86","1063-001-01",3,"ALIZETI",41,2,10,41,,,,,,,,,,100,1,140,2,,,,,,,,,,,,,2,
"63-59-38-21","1064-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,90,1,90,2,,,,,,,,,,,,,1,9000
"63-59-38-21","1064-001-01",2,"MTAMA",13,1,1,13,,,,,,,,,,300,1,300,2,,,,,,,,,,,,,1,30000
"51-70-28-89","1076-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,144,1,144,2,,,,,,,,,,,,,1,14400
"45-88-08-27","1077-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,600,1,600,2,,,,,,,,,,,,,1,30000
"45-88-08-27","1077-001-01",2,"MAHINDI",11,1,2,11,,,,,,,,,,72,1,120,2,,,,,,,,,,,,,1,6000
"45-88-08-27","1077-001-01",3,"MAHINDI",11,2,9,11,,,,,,,,,,48,1,120,2,,,,,,,,,,,,,2,
"51-38-42-66","1079-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,816,1,960,2,,,,,,,,,,,,,1,48000
"51-38-42-66","1079-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,144,1,960,2,,,,,,,,,,,,,2,
"15-64-51-68","1081-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,108,1,108,2,,,,,,,,,,,,,1,12000
"40-74-76-77","1082-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,440,1,440,2,,,,,,,,,,,,,1,44000
"40-74-76-77","1082-001-01",2,"MAHINDI",11,1,2,11,,,,,,,,,,72,1,120,2,,,,,,,,,,,,,1,12000
"40-74-76-77","1082-001-01",3,"MAHINDI",11,2,9,11,,,,,,,,,,48,1,120,2,,,,,,,,,,,,,2,
"71-92-06-80","1083-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,144,1,160,2,,,,,,,,,,,,,1,3200
"71-92-06-80","1083-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,16,1,160,2,,,,,,,,,,,,,2,
"74-62-00-18","1097-001-04",1,"MAHINDI",11,1,1,11,,,,,,,,,,240,1,240,2,,,,,,,,,,,,,1,12000
"08-25-45-41","1134-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,50,1,50,2,,,,,,,,,,,,,1,5000
"02-54-47-04","1198-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,45,1,60,2,,,,,,,,,,,,,1,6000
"59-82-97-20","1233-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,98,1,100,2,,,,,,,,,,,,,1,10000
"32-46-17-36","1236-001-04",1,"MAHINDI",11,1,1,11,,,,,,,,,,289,1,362,2,,,,,,,,,,,,,1,30000
"32-46-17-36","1236-001-04",2,"MAHINDI",11,2,9,11,,,,,,,,,,73,1,362,2,,,,,,,,,,,,,2,
"28-24-87-55","1305-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,172,1,216,2,,,,,,,,,,,,,1,18000
"28-24-87-55","1305-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,44,1,216,2,,,,,,,,,,,,,2,
"14-23-99-91","1333-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,37,1,40,2,,,,,,,,,,,,,1,8000
"85-21-92-45","1348-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,182,1,228,2,,,,,,,,,,,,,2,
"85-21-92-45","1348-001-01",3,"ALIZETI",41,1,3,41,,,,,,,,,,16,2,160,2,,,,,,,,,,,,,1,8000
"85-21-92-45","1348-001-01",4,"MAHINDI",11,2,9,11,,,,,,,,,,46,1,228,2,,,,,,,,,,,,,2,
"35-22-61-35","1401-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,180,1,200,2,,,,,,,,,,,,,1,18000
"35-22-61-35","1401-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,20,1,200,2,,,,,,,,,,,,,2,
"87-14-18-77","1557-001-01",1,"MCHIKICHI",44,1,3,44,,,,,,,,,,7,2,40,2,,,,,,,,,,,,,2,
"87-14-18-77","1557-001-01",2,"MCHIKICHI",44,2,16,44,,,,,,,,,,3,1,40,2,,,,,,,,,,,,,2,
"00-17-71-97","1596-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,1130,1,1190,2,,,,,,,,,,,,,1,56525
"00-17-71-97","1596-001-01",2,"MCHIKICHI",44,1,3,44,,,,,,,,,,45,2,150,2,,,,,,,,,,,,,2,
"00-17-71-97","1596-001-01",3,"MAHINDI",11,2,9,11,,,,,,,,,,238,1,1190,2,,,,,,,,,,,,,2,
"00-17-71-97","1596-001-01",4,"MCHIKICHI",44,2,10,44,,,,,,,,,,30,1,150,2,,,,,,,,,,,,,2,
"26-08-75-88","1665-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,450,1,750,2,,,,,,,,,,,,,1,40000
"42-24-69-58","1725-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,216,1,216,2,,,,,,,,,,,,,1,24000
"15-97-35-81","1745-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,160,1,200,2,,,,,,,,,,,,,1,18000
"46-39-86-17","1765-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,150,1,300,2,,,,,,,,,,,,,1,37500
"88-80-90-94","1766-001-01",1,"MPUNGA",12,1,8,12,,,,,,,,,,160,1,200,2,,,,,,,,,,,,,2,
"88-80-90-94","1766-001-01",2,"MPUNGA",12,2,11,12,,,,,,,,,,40,1,200,2,,,,,,,,,,,,,2,
"17-64-18-79","1768-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,120,1,150,2,,,,,,,,,,,,,1,30000
"76-34-61-71","1779-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,702,1,702,2,,,,,,,,,,,,,1,39000
"97-53-95-82","1780-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,810,1,810,2,,,,,,,,,,,,,1,45000
"41-24-27-93","1781-001-01",1,"MAHINDI",11,1,1,11,15,34,41,,,,,,,864,1,864,2,,,,,,,,,,,,,2,
"41-24-27-93","1781-001-01",2,"MAHINDI",11,2,17,11,15,34,41,,,,,,,0,,864,2,,,,,,,,,,,,,2,
"00-71-13-59","1782-001-03",1,"MAHINDI",11,1,1,11,,,,,,,,,,300,1,300,2,,,,,,,,,,,,,1,15000
"00-71-13-59","1782-001-03",2,"ALIZETI",41,1,3,41,,,,,,,,,,20,2,90,2,,,,,,,,,,,,,1,7000
"00-71-13-59","1782-001-03",3,"ALIZETI",41,2,10,41,,,,,,,,,,70,1,90,2,,,,,,,,,,,,,2,
"70-69-92-64","1783-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,432,1,432,2,,,,,,,,,,,,,1,24000
"70-69-92-64","1783-001-01",2,"UWELE",14,1,1,14,,,,,,,,,,170,1,170,2,,,,,,,,,,,,,1,8500
"70-69-92-64","1783-001-01",3,"ULEZI",15,1,1,15,,,,,,,,,,110,1,110,2,,,,,,,,,,,,,1,5500
"70-69-92-64","1783-001-01",4,"ALIZETI",41,1,3,41,,,,,,,,,,21,2,84,2,,,,,,,,,,,,,1,14000
"70-69-92-64","1783-001-01",5,"ALIZETI",41,2,10,41,,,,,,,,,,63,1,84,2,,,,,,,,,,,,,2,
"94-30-16-27","1784-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,215,1,215,2,,,,,,,,,,,,,1,12000
"31-80-34-98","1785-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,440,1,440,2,,,,,,,,,,,,,1,22000
"31-80-34-98","1785-001-02",2,"ALIZETI",41,1,3,41,,,,,,,,,,18,2,70,2,,,,,,,,,,,,,1,6000
"31-80-34-98","1785-001-02",3,"ALIZETI",41,2,10,41,,,,,,,,,,50,1,70,2,,,,,,,,,,,,,2,
"11-59-35-06","1785-001-03",1,"MAHINDI",11,1,1,11,,,,,,,,,,324,1,324,2,,,,,,,,,,,,,1,18000
"11-59-35-06","1785-001-03",3,"ALIZETI",41,1,3,41,,,,,,,,,,14,2,84,2,,,,,,,,,,,,,2,
"11-59-35-06","1785-001-03",4,"ALIZETI",41,2,10,41,,,,,,,,,,70,1,84,2,,,,,,,,,,,,,2,
"36-49-19-37","1786-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,648,1,756,2,,,,,,,,,,,,,1,12000
"36-49-19-37","1786-001-01",2,"MAHINDI",11,1,2,11,,,,,,,,,,78,1,108,2,,,,,,,,,,,,,1,5000
"36-49-19-37","1786-001-01",3,"MAHINDI",11,2,9,11,,,,,,,,,,30,1,108,2,,,,,,,,,,,,,2,
"61-05-13-10","1798-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,85,1,106,2,,,,,,,,,,,,,1,12000
"61-05-13-10","1798-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,21,1,106,2,,,,,,,,,,,,,2,
"03-94-16-92","1799-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,190,1,238,2,,,,,,,,,,,,,1,19500
"03-94-16-92","1799-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,42,1,238,2,,,,,,,,,,,,,2,
"03-94-16-92","1799-001-01",3,"MTAMA",13,1,1,13,,,,,,,,,,81,1,106,2,,,,,,,,,,,,,1,9000
"03-94-16-92","1799-001-01",4,"MTAMA",13,2,18,13,,,,,,,,,,25,1,106,2,,,,,,,,,,,,,2,
"96-34-88-55","1800-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,270,1,300,2,,,,,,,,,,,,,1,15000
"96-34-88-55","1800-001-01",2,"PUMBA",11,2,9,11,,,,,,,,,,30,1,300,2,,,,,,,,,,,,,2,
"96-34-88-55","1800-001-01",3,"MTAMA",13,1,1,13,,,,,,,,,,180,1,180,2,,,,,,,,,,,,,1,9000
"55-36-84-45","1801-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,216,1,216,2,,,,,,,,,,,,,1,24000
"55-36-84-45","1801-001-01",2,"MTAMA",13,1,1,13,,,,,,,,,,700,1,700,2,,,,,,,,,,,,,1,70000
"42-29-89-48","1801-001-04",1,"MTAMA",13,1,1,13,,,,,,,,,,140,1,140,2,,,,,,,,,,,,,1,14000
"76-08-90-56","1802-001-01",1,"MTAMA",13,1,1,13,,,,,,,,,,870,1,1044,2,,,,,,,,,,,,,1,58000
"76-08-90-56","1802-001-01",2,"MTAMA",13,2,18,13,,,,,,,,,,60,1,1044,2,,,,,,,,,,,,,2,
"20-12-62-77","1803-001-01",1,"ALIZETI",41,1,3,41,,,,,,,,,,16,2,80,2,,,,,,,,,,,,,1,4000
"11-69-14-70","1804-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,18,1,20,2,,,,,,,,,,,,,1,800
"58-47-83-55","1805-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,100,1,126,2,,,,,,,,,,,,,1,14000
"58-47-83-55","1805-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,26,1,126,2,,,,,,,,,,,,,2,
"58-47-83-55","1805-001-01",3,"MTAMA",13,1,1,11,13,,,,,,,,,58,1,72,2,,,,,,,,,,,,,1,8000
"58-47-83-55","1805-001-01",4,"MTAMA",13,2,18,13,,,,,,,,,,14,1,72,2,,,,,,,,,,,,,2,
"37-48-48-04","1836-001-01",1,"MAHINDI",11,1,1,11,36,43,,,,,,,,20,1,20,2,,,,,,,,,,,,,1,1000
"37-48-48-04","1836-001-01",2,"MAHINDI",11,2,18,11,36,43,,,,,,,,0,,20,2,,,,,,,,,,,,,2,
"93-76-89-48","1837-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,280,1,360,2,,,,,,,,,,,,,1,36000
"93-76-89-48","1837-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,80,1,360,2,,,,,,,,,,,,,2,
"26-76-44-68","1839-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,276,1,280,2,,,,,,,,,,,,,1,9600
"65-72-55-00","1840-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,480,1,530,2,,,,,,,,,,,,,1,15900
"65-72-55-00","1840-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,50,1,530,2,,,,,,,,,,,,,2,
"99-71-08-47","1840-001-03",1,"MAHINDI",11,1,1,11,,,,,,,,,,140,1,180,2,,,,,,,,,,,,,1,10000
"99-71-08-47","1840-001-03",2,"MAHINDI",11,2,9,11,,,,,,,,,,40,1,180,2,,,,,,,,,,,,,2,
"49-42-19-85","1841-001-01",1,"MAHINDI",11,2,9,11,,,,,,,,,,141,1,859,2,,,,,,,,,,,,,2,
"31-86-83-67","1842-001-01",1,"ALIZETI",41,1,3,11,13,36,41,43,,,,,,20,2,60,2,,,,,,,,,,,,,2,
"31-86-83-67","1842-001-01",2,"MAHINDI",11,1,1,11,13,36,41,43,,,,,,150,1,180,2,,,,,,,,,,,,,1,8000
"31-86-83-67","1842-001-01",3,"ALIZETI",41,2,10,11,13,36,41,43,,,,,,20,1,60,2,,,,,,,,,,,,,2,
"31-86-83-67","1842-001-01",4,"MAHINDI",11,2,9,11,13,36,41,43,,,,,,30,1,150,2,,,,,,,,,,,,,2,
"49-86-16-68","1843-001-01",1,"MAHINDI",11,1,1,11,41,,,,,,,,,480,1,600,2,,,,,,,,,,,,,1,45000
"49-86-16-68","1843-001-01",2,"ALIZETI",41,1,3,41,,,,,,,,,,10,2,60,2,,,,,,,,,,,,,2,
"49-86-16-68","1843-001-01",3,"MAHINDI",11,2,9,11,,,,,,,,,,120,1,600,2,,,,,,,,,,,,,2,
"49-86-16-68","1843-001-01",4,"ALIZETI",41,2,10,41,,,,,,,,,,45,1,60,2,,,,,,,,,,,,,2,
"86-98-06-33","1856-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,100,1,100,2,,,,,,,,,,,,,1,10000
"88-48-03-01","1856-001-04",1,"MAHINDI",11,1,1,11,,,,,,,,,,40,1,40,2,,,,,,,,,,,,,1,18000
"58-38-27-14","1857-001-01",1,"MAHINDI",11,1,1,11,41,,,,,,,,,500,1,500,2,,,,,,,,,,,,,1,25000
"58-38-27-14","1857-001-01",2,"ALIZETI",41,1,3,41,,,,,,,,,,3,2,30,2,,,,,,,,,,,,,1,1500
"58-38-27-14","1857-001-01",3,"ALIZETI",41,2,10,41,,,,,,,,,,23,1,30,2,,,,,,,,,,,,,2,
"07-82-76-34","1857-001-02",1,"MAHINDI",11,1,1,11,34,41,,,,,,,,170,1,190,2,,,,,,,,,,,,,1,10000
"07-82-76-34","1857-001-02",2,"ALIZETI",41,1,3,11,34,41,,,,,,,,3,2,20,2,,,,,,,,,,,,,1,3500
"07-82-76-34","1857-001-02",3,"MAHINDI",11,2,9,11,34,41,,,,,,,,20,1,190,2,,,,,,,,,,,,,2,
"07-82-76-34","1857-001-02",4,"ALIZETI",41,2,10,11,34,41,,,,,,,,5,1,20,2,,,,,,,,,,,,,2,
"66-14-13-15","1858-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,528,1,540,2,,,,,,,,,,,,,1,18000
"36-33-35-19","1858-001-09",1,"MAHINDI",11,1,1,11,,,,,,,,,,215,1,220,2,,,,,,,,,,,,,1,12000
"36-33-35-19","1858-001-09",2,"ALIZETI",41,1,3,41,,,,,,,,,,25,2,90,1,10,2,40,1,2,1,2,40000,2,1,2,1,1,4000
"70-07-82-73","1859-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,240,1,240,2,,,,,,,,,,,,,1,12000
"70-07-82-73","1859-001-01",3,"MAHINDI",11,2,17,11,,,,,,,,,,0,,240,2,,,,,,,,,,,,,2,
"70-07-82-73","1859-001-01",4,"ALIZETI",41,1,3,41,,,,,,,,,,18,2,126,2,,,,,,,,,,,,,1,5000
"70-07-82-73","1859-001-01",5,"ALIZETI",41,2,16,41,,,,,,,,,,108,1,126,2,,,,,,,,,,,,,2,
"39-53-93-81","1861-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,80,1,80,2,,,,,,,,,,,,,1,8000
"33-06-24-68","1874-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,324,1,324,2,,,,,,,,,,,,,1,27000
"32-28-64-63","1875-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,566,1,566,2,,,,,,,,,,,,,1,32000
"32-28-64-63","1875-001-01",2,"MPUNGA",12,1,2,12,,,,,,,,,,375,1,275,2,,,,,,,,,,,,,1,25000
"58-08-38-13","1875-001-03",1,"MAHINDI",11,1,1,11,12,,,,,,,,,99,1,99,2,,,,,,,,,,,,,1,4500
"58-08-38-13","1875-001-03",2,"MPUNGA",12,1,2,12,,,,,,,,,,48,1,75,2,,,,,,,,,,,,,1,3000
"58-08-38-13","1875-001-03",3,"MPUNGA",12,2,11,12,,,,,,,,,,27,1,75,2,,,,,,,,,,,,,2,
"62-29-93-46","1875-001-07",1,"MAHINDI",11,1,1,11,,,,,,,,,,422,1,422,2,,,,,,,,,,,,,1,23500
"15-55-16-65","1876-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,300,1,300,2,,,,,,,,,,,,,1,12000
"15-55-16-65","1876-001-02",2,"MUHOGO",21,1,1,21,,,,,,,,,,60,1,56,2,,,,,,,,,,,,,1,8000
"71-47-50-92","1876-001-04",1,"MAHINDI",11,1,1,11,,,,,,,,,,120,1,120,2,,,,,,,,,,,,,1,6000
"41-83-97-52","1877-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,700,1,700,2,,,,,,,,,,,,,1,17500
"14-35-65-81","1877-001-04",1,"MAHINDI",11,1,1,11,,,,,,,,,,480,1,480,2,,,,,,,,,,,,,1,12000
"69-30-51-52","1879-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,120,1,120,2,,,,,,,,,,,,,1,6000
"69-30-51-52","1879-001-01",2,"MPUNGA",12,1,2,12,,,,,,,,,,120,1,140,2,,,,,,,,,,,,,1,2100
"08-43-62-70","1893-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,270,1,270,2,,,,,,,,,,,,,1,15000
"79-60-26-09","1896-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,176,1,216,2,,,,,,,,,,,,,1,12000
"18-03-93-66","1913-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,108,1,108,2,,,,,,,,,,,,,1,6000
"72-94-88-22","1916-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,378,1,378,2,,,,,,,,,,,,,1,21000
"15-84-04-21","1918-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,900,1,1080,2,,,,,,,,,,,,,1,60000
"15-84-04-21","1918-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,180,1,1080,2,,,,,,,,,,,,,2,
"40-11-03-43","1931-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,270,1,324,2,,,,,,,,,,,,,1,9000
"51-16-84-33","1932-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,580,1,580,2,,,,,,,,,,,,,1,23200
"53-04-56-80","1932-001-02",1,"MPUNGA",12,1,2,12,,,,,,,,,,2892,1,4450,1,2000,1,3076,1,,1,,2200000,9,2,9,2,1,190800
"53-04-56-80","1932-001-02",2,"MPUNGA",12,2,11,12,,,,,,,,,,1557,1,4450,2,,,,,,,,,,,,,2,
"53-04-56-80","1932-001-02",3,"MAHINDI",11,1,1,11,,,,,,,,,,520,1,540,1,50,1,50,1,,1,2,50000,2,1,2,1,1,15000
"55-83-06-85","1932-001-04",1,"MAHINDI",11,1,1,11,43,,,,,,,,,540,1,540,2,,,,,,,,,,,,,1,16000
"55-83-06-85","1932-001-04",2,"KARANGA",43,1,2,43,,,,,,,,,,180,1,450,2,,,,,,,,,,,,,2,
"04-39-71-36","1932-001-08",1,"MAHINDI",11,1,1,11,,,,,,,,,,160,1,200,2,,,,,,,,,,,,,1,10000
"04-39-71-36","1932-001-08",2,"MAHINDI",11,2,9,11,,,,,,,,,,40,1,200,2,,,,,,,,,,,,,2,
"41-12-45-18","1933-001-01",1,"MAHINDI",11,1,1,11,12,,,,,,,,,432,1,432,2,,,,,,,,,,,,,1,9500
"41-12-45-18","1933-001-01",2,"MPUNGA",12,1,2,12,,,,,,,,,,85,1,150,2,,,,,,,,,,,,,1,2000
"41-12-45-18","1933-001-01",3,"MPUNGA",12,2,11,12,,,,,,,,,,65,1,150,2,,,,,,,,,,,,,2,
"74-41-63-53","1934-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,1170,1,1404,2,,,,,,,,,,,,,1,39000
"74-41-63-53","1934-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,234,1,1404,2,,,,,,,,,,,,,2,
"66-14-94-18","1935-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,395,1,486,2,,,,,,,,,,,,,1,13500
"66-14-94-18","1935-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,90,1,486,2,,,,,,,,,,,,,2,
"28-72-49-68","1935-001-06",1,"MAHINDI",11,1,1,11,,,,,,,,,,160,1,216,2,,,,,,,,,,,,,1,6000
"28-72-49-68","1935-001-06",2,"MAHINDI",11,2,9,11,,,,,,,,,,40,1,216,2,,,,,,,,,,,,,2,
"28-72-49-68","1935-001-06",3,"MPUNGA",12,1,2,12,,,,,,,,,,70,1,96,2,,,,,,,,,,,,,1,3000
"28-72-49-68","1935-001-06",4,"MPUNGA",12,2,11,12,,,,,,,,,,26,1,96,2,,,,,,,,,,,,,2,
"56-51-57-98","1936-001-01",1,"MAHINDI",11,1,1,11,12,22,32,43,73,,,,,1080,1,1080,2,,,,,,,,,,,,,1,48000
"56-51-57-98","1936-001-01",2,"MAHINDI",11,2,9,11,12,22,32,43,73,,,,,0,,1080,2,,,,,,,,,,,,,2,
"56-51-57-98","1936-001-01",3,"MPUNGA",12,1,2,11,12,22,32,43,73,,,,,306,1,476,2,,,,,,,,,,,,,1,13600
"56-51-57-98","1936-001-01",4,"MPUNGA",12,2,11,11,12,22,32,43,73,,,,,170,1,476,2,,,,,,,,,,,,,2,
"58-41-33-74","1936-001-02",1,"MAHINDI",11,1,1,11,73,80,,,,,,,,432,1,432,2,,,,,,,,,,,,,1,19200
"58-41-33-74","1936-001-02",2,"MAHINDI",11,2,17,11,73,80,,,,,,,,0,,432,2,,,,,,,,,,,,,2,
"20-27-84-75","1936-001-04",1,"MAHINDI",11,1,1,11,,,,,,,,,,1388,1,1388,2,,,,,,,,,,,,,1,77000
"98-18-22-89","1937-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,1020,1,1020,2,,,,,,,,,,,,,1,28500
"98-18-22-89","1937-001-02",2,"MUHOGO",21,1,1,21,,,,,,,,,,230,1,250,2,,,,,,,,,,,,,1,11500
"12-92-55-03","1938-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,426,1,451,2,,,,,,,,,,,,,1,25100
"05-92-83-74","1938-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,40,1,45,2,,,,,,,,,,,,,1,2000
"05-92-83-74","1938-001-02",2,"MAHINDI",11,2,9,11,,,,,,,,,,5,1,45,2,,,,,,,,,,,,,2,
"29-60-24-00","1950-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,420,1,420,2,,,,,,,,,,,,,1,19000
"80-22-16-23","1951-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,60,1,60,2,,,,,,,,,,,,,1,3000
"11-83-65-02","1952-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,144,1,162,2,,,,,,,,,,,,,1,1350
"83-93-74-59","1954-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,80,1,80,2,,,,,,,,,,,,,1,4000
"81-77-28-59","1955-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,234,1,324,2,,,,,,,,,,,,,1,27000
"01-06-14-47","1956-001-01",1,"MPUNGA",12,1,2,12,,,,,,,,,,58000,1,120,2,,,,,,,,,,,,,1,3500
