"interview__key","y5_hhid","cropid","ag10_02_1","ag10_02_2","ag10_02_3","ag10_03","ag10_02_2a","ag10_02_2b","ag10_02_2c","ag10_02_2d","ag10_02_2e","ag10_02_2f","ag10_02_2g","ag10_02_2h","ag10_02_2i","ag10_02_2j","ag10_04_1","ag10_04_2","ag10_05","ag10_06","ag10_07_1","ag10_07_2","ag10_08","ag10_09_1","ag10_09_2","ag10_10_1","ag10_10_2","ag10_11","ag10_12_1a","ag10_12_1b","ag10_12_2a","ag10_12_2b","ag10_13","ag10_14"
"80-41-93-59","4271-001-01",6,"MUHOGO",21,2,16,21,,,,,,,,,,50,1,400,2,,,,,,,,,,,,,2,
"80-41-93-59","4271-001-01",7,"MAHINDI",11,1,1,11,,,,,,,,,,1016,1,1116,2,,,,,,,,,,,,,1,30000
"43-23-22-29","4271-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,187,1,220,2,,,,,,,,,,,,,1,5500
"43-23-22-29","4271-001-02",2,"MAHINDI",11,2,9,11,,,,,,,,,,33,1,220,2,,,,,,,,,,,,,1,5500
"43-23-22-29","4271-001-02",3,"MPUNGA",12,1,2,12,,,,,,,,,,63,1,105,2,,,,,,,,,,,,,1,3500
"43-23-22-29","4271-001-02",4,"MPUNGA",12,2,11,12,,,,,,,,,,42,1,105,2,,,,,,,,,,,,,2,
"43-23-22-29","4271-001-02",5,"KARANGA",43,1,1,43,,,,,,,,,,40,1,40,2,,,,,,,,,,,,,2,
"67-84-80-74","4272-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,210,1,216,2,,,,,,,,,,,,,1,12000
"67-84-80-74","4272-001-01",2,"MPUNGA",12,1,2,12,,,,,,,,,,486,1,810,2,,,,,,,,,,,,,1,18000
"10-28-66-79","4273-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,220,1,220,2,,,,,,,,,,,,,1,7700
"10-28-66-79","4273-001-01",2,"MAHINDI",11,1,2,11,,,,,,,,,,96,1,120,2,,,,,,,,,,,,,2,
"10-28-66-79","4273-001-01",3,"MAHINDI",11,2,9,11,,,,,,,,,,24,1,120,2,,,,,,,,,,,,,2,
"10-28-66-79","4273-001-01",4,"MPUNGA",12,1,2,12,,,,,,,,,,576,1,960,2,,,,,,,,,,,,,1,32000
"10-28-66-79","4273-001-01",5,"VIAZI VITAMU",22,1,8,22,,,,,,,,,,390,1,600,2,,,,,,,,,,,,,2,
"42-50-43-00","4274-001-01",1,"VIAZI VITAMU",22,1,8,22,,,,,,,,,,160,1,200,2,,,,,,,,,,,,,2,
"42-50-43-00","4274-001-01",2,"VIAZI VITAMU",22,2,16,22,,,,,,,,,,40,1,200,2,,,,,,,,,,,,,2,
"42-50-43-00","4274-001-01",4,"MPUNGA",12,1,2,12,,,,,,,,,,1400,1,1600,2,,,,,,,,,,,,,1,96000
"42-50-43-00","4274-001-01",5,"MPUNGA",12,2,11,12,,,,,,,,,,200,1,1600,2,,,,,,,,,,,,,2,
"42-50-43-00","4274-001-01",6,"MAHINDI",11,1,1,11,,,,,,,,,,475,1,480,2,,,,,,,,,,,,,1,12500
"31-50-94-42","4275-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,434,1,434,2,,,,,,,,,,,,,1,8000
"96-41-62-54","4287-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,134,1,170,2,,,,,,,,,,,,,1,14000
"96-41-62-54","4287-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,30,1,170,2,,,,,,,,,,,,,2,
"87-52-88-38","4288-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,352,1,440,2,,,,,,,,,,,,,1,33000
"87-52-88-38","4288-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,88,1,440,2,,,,,,,,,,,,,2,
"58-09-19-58","4289-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,56,1,72,2,,,,,,,,,,,,,1,6000
"58-09-19-58","4289-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,12,1,72,1,12,1,72,1,,1,,2400,3,1,3,1,2,
"91-36-93-28","4290-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,770,1,860,2,,,,,,,,,,,,,1,51000
"91-36-93-28","4290-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,90,1,860,2,,,,,,,,,,,,,2,
"91-36-93-28","4290-001-01",3,"MAHARAGE",31,1,2,31,,,,,,,,,,85,1,100,2,,,,,,,,,,,,,2,
"91-36-93-28","4290-001-01",4,"MAHARAGE",31,2,16,31,,,,,,,,,,15,1,100,2,,,,,,,,,,,,,2,
"91-36-93-28","4290-001-01",5,"KARANGA",43,1,2,43,,,,,,,,,,25,1,30,2,,,,,,,,,,,,,2,
"91-36-93-28","4290-001-01",6,"KARANGA",43,2,16,43,,,,,,,,,,5,1,30,2,,,,,,,,,,,,,2,
"54-41-93-39","4306-001-04",1,"MPUNGA",12,1,2,12,,,,,,,,,,50,1,100,2,,,,,,,,,,,,,1,10000
"54-41-93-39","4306-001-04",2,"MPUNGA",12,2,11,12,,,,,,,,,,50,1,100,2,,,,,,,,,,,,,2,
"27-81-46-11","4307-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,150,1,175,2,,,,,,,,,,,,,1,17500
"48-26-35-36","4308-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,95,1,119,2,,,,,,,,,,,,,1,11900
"48-26-35-36","4308-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,24,1,119,1,24,1,24,1,,1,,3000,2,1,2,1,2,
"31-91-85-56","4309-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,389,1,432,2,,,,,,,,,,,,,1,43200
"31-91-85-56","4309-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,43,1,432,2,,,,,,,,,,,,,2,
"29-82-56-65","4310-001-01",1,"MAHINDI",11,1,1,11,21,,,,,,,,,400,1,430,2,,,,,,,,,,,,,1,80000
"29-82-56-65","4310-001-01",2,"MUHOGO",21,1,1,21,,,,,,,,,,200,1,300,2,,,,,,,,,,,,,1,30000
"75-82-37-58","4310-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,500,1,500,2,,,,,,,,,,,,,1,50000
"66-68-73-91","4313-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,60,1,60,2,,,,,,,,,,,,,1,5000
"35-71-26-25","4325-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,600,1,648,2,,,,,,,,,,,,,1,18000
"35-71-26-25","4325-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,48,1,648,2,,,,,,,,,,,,,1,9000
"72-50-64-15","4325-001-04",1,"MAHINDI",11,1,1,11,,,,,,,,,,394,1,436,2,,,,,,,,,,,,,1,24000
"72-50-64-15","4325-001-04",2,"MAHINDI",11,2,9,11,,,,,,,,,,42,1,436,2,,,,,,,,,,,,,1,12000
"29-42-96-40","4328-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,1700,1,1800,2,,,,,,,,,,,,,1,135000
"29-42-96-40","4328-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,100,1,1800,2,,,,,,,,,,,,,1,135000
